group,category,event_name,description,website,phone,typical_month,notes
Annual Events,October/December,Camellia Bowl,This is an NCAA sanctioned FBS college football game held sometime in December.,camelliabowl.com,(404) 862.4730,,2025 entry — verify dates for 2026
Annual Events,October/December,Christmas on the Coosa,"Annual Christmas parade held on the Coosa River with decorated boats at night. The festival also offers art/crafts, street parade, classic cars and more.",cityofwetumpka.com,(334) 567.5147,,2025 entry — verify dates for 2026
Annual Events,October/December,Coosa Candy Crawl,Come trick-or-treat dressed in your favorite costume.,wetumpkaal.gov,(334) 567.5147,,2025 entry — verify dates for 2026
Annual Events,October/December,Daddy Daughter Diamond Princess Ball,A fundraiser that allows daddy's and daughters to have that special night out. Open to girls ages 6th grade and under.  Held in December.,oldalabamatown.com,(334) 240.4500,,2025 entry — verify dates for 2026
Annual Events,October/December,Frontier Days at Fort Toulouse,One of the largest and authentic living history events in Alabama.  Demonstrates life on the southern frontier during the 18th and early 19th centuries.  Held in November.,fttoulousejackson.org,(334) 567.3002,,2025 entry — verify dates for 2026
Annual Events,October/December,Holiday Pops Concert,Come listen to the sounds of Christmas performed by the Montgomerhy Symphoney Orchestra.,montgomerysymphony.org,(334) 240.4004,,2025 entry — verify dates for 2026
Annual Events,October/December,Junior League Market,Annual Holiday Market held in October.,jlmontgomery.org,(334) 288.8816,,2025 entry — verify dates for 2026
Annual Events,October/December,Living Christmas Tree,Come see Montgomery's First Baptist Church Choir perform their Annual Living Christmas Tree.,montgomeryfbc.org,(334) 241.5151,,2025 entry — verify dates for 2026
Annual Events,October/December,Montgomery Christmas Parade,Annual parade that kicks of city celebration of Christmas begins at the steps of the capitol and ends at the Court Square.,visitingmontgomery.com,(334) 625.4400,,2025 entry — verify dates for 2026
Annual Events,October/December,Montgomery Symphony Orchestra Holiday Pops Concert,The orchestra plays everyone's favorite holiday songs. Great concert for family traditions.,montgomerysymphony.org,(334) 240.4004,,2025 entry — verify dates for 2026
Annual Events,October/December,Montgomery Zoo Christas Lights Festival,"Come see the Montgomery Zoo with thousands or lights, displays and decorations.",montgomeryzoo.com,(334) 625.4900,,2025 entry — verify dates for 2026
Annual Events,October/December,Parade of Pumpkins,"Come enjoy the fall season with an array of pumpkins decorated by our youth, enjoy food trucks and more.",prattvilleal.gov,(334) 595.0100,,2025 entry — verify dates for 2026
Annual Events,October/December,Prattville Annual Christmas Parade,Come see the beautful downtown Prattville strung with lights. Drink some hot cocoa while watching the parade.,prattvilleal.gov,(334) 595.0850,,2025 entry — verify dates for 2026
Annual Events,October/December,Safari of Lights,"Come drive through that park and see all of the beautiful lights, farm animals, games and more.",alabamasafaripark.com,(334) 288.2105,,2025 entry — verify dates for 2026
Annual Events,October/December,Shoppes at East Chase Annual Christmas Parade,"Come enjoy the magical wonder at Eastchase. Watch the parade, live performances, vendors and more.",theshoppesateastchase.com,(334) 279.6046,,2025 entry — verify dates for 2026
Annual Events,October/December,Spinners Pumpkin Patch Crafts & Vendor Show,"Come out and support your local artist at Spinners. Activities for kids, music, vendors and more.",prattvilleal.gov,(334) 717.1141,,2025 entry — verify dates for 2026
Annual Events,October/December,Spirit of Christmas Parade and Festival Millbrook,"Come and enjoy the celebration of Christmas with Millbrook's tree lighting, parade and vendors.",cityofmillbrook.org,(334) 320.5472,,2025 entry — verify dates for 2026
Annual Events,October/December,Tavern Fest,"Popular event downtown featuring craft beer, live music, food, silent auction and much, much more!",oldalabamatown.com,(334) 240.4500,,2025 entry — verify dates for 2026
Annual Events,October/December,Turkey Day Classic,Alabama State University's traditional Thanksgiving Day football game.,bamastatesports.com,(334) 229.4100,,2025 entry — verify dates for 2026
Annual Events,October/December,Wetumpka Oktoberfest,"Live music, contest and shopping. Children's area with petting zoo, face painting and games.",mainstreetwetumpka.org,(334) 478.3926,,2025 entry — verify dates for 2026
Annual Events,April/June,Alabama Book Festival,"A wonderful lineup of regional authors from every genre. Lots to do with author panels, quiz shows, children's activity area, live music, theatre, vendors, food and more. Held in April.",alabamabookfestival.org,(334) 240.4500,,2025 entry — verify dates for 2026
Annual Events,April/June,Bark in the Park,"Fundraiser for Prattville/Autaguga Humane Society. Lots of food/concessions, contest, games and more.",prattvilleautaugahumane.org,(334) 358.2882,,2025 entry — verify dates for 2026
Annual Events,April/June,CoosaPalooza Brew Fest,Craft Brews from around Alabama while enjoying the beautfiul views.,mainstreetwetumpka.org,(334) 478.3926,,2025 entry — verify dates for 2026
Annual Events,April/June,Creekwalk Concert Series,"Bring your family, a chair and enjoy the family friendly concerts.",prattvilleal.gov,(334) 595.0850,,2025 entry — verify dates for 2026
Annual Events,April/June,Earth Day Safari,Educational day with loads of fun. Open for all ages.,montgomeryzoo.com,(334) 625.4909,,2025 entry — verify dates for 2026
Annual Events,April/June,Farmer's Market Grand Opening,"Come visit us in Eastchase on Saturday mornings through September for local vendors and farmers. You will find anything from homemade soaps,  farm fresh veggies and more. Opens in May.",shoppesateastchase.com,(334) 279.6046,,2025 entry — verify dates for 2026
Annual Events,April/June,Flimp Festival,"Free Art festival featuring over a dozen art activities, chalk, live music performances, games and food vendors.  Held in May.",mmfa.org,(334) 625.4333,,2025 entry — verify dates for 2026
Annual Events,April/June,Fountain City Arts Festival in Prattville,"A fun filled day with literary works, artist, musicians and more. Held in April",prattvilleal.gov,(334) 595.0854,,2025 entry — verify dates for 2026
Annual Events,April/June,Herb Day,Heirloom organic vegetable plants and herbs. Held in April/May.,www.alabamaherbsociety.org,(334) 245.3508,,2025 entry — verify dates for 2026
Annual Events,April/June,Montgomery Dragon Boat Race,Dragon Boat race on the Alabama River.,montgomerydragonboats.com,(334) 625.9411,,2025 entry — verify dates for 2026
Annual Events,April/June,Prattville CityFest,"Visit our local vendors, enjoy the food vendors, fun area for the kids to play, live music and more. Held in May.",prattvillecityfest.com,(334) 365.7392,,2025 entry — verify dates for 2026
Annual Events,April/June,Prattville Pops Spring Concert,Enjoy a themed performance by the Prattville Pops.,prattvilleal.gov,(334) 595.0850,,2025 entry — verify dates for 2026
Annual Events,April/June,Ride for Freedom Bus Tour,"Meet with a Freedom Rider, Historians, Activists and other locals to hear the story from those who lived it and where it happened. Held in May.",Facebook at Freedom Rides Museum,(334) 414.8647,,2025 entry — verify dates for 2026
Annual Events,April/June,River Jam Music Festival,Annual Music Festival held at Riverfront Park. Please visit website to see Heading and other performers. Food vendors and beverages available.  Held in May.,funinmontgomery.com,(334) 625.2100,,2025 entry — verify dates for 2026
Annual Events,April/June,Seafood and Arts Festival,"Delicious seafood, arts and crafts.  Benefits Child Protect. Held in April.",funinmontgomery.com,(334) 625.2100,,2025 entry — verify dates for 2026
Annual Events,April/June,Sounds of Summer Concert Series,Eastchase serves up a series of summer concerts and they are FREE! You can visit our their website for dates and who's playing.  Begins in June.,shoppesateastchase.com,(334) 279.6046,,2025 entry — verify dates for 2026
Annual Events,April/June,Sweet Creeks Spring Chicken Festival,"Free Event with live music, BBQ cook-off, kids activities, handcrafted booths and more.  Held in April.",,(334) 280.3276,,2025 entry — verify dates for 2026
Annual Events,April/June,Tunes on the Green,Free summer concert series,cityofmillbrook.org,(334) 312.2866,,2025 entry — verify dates for 2026
Annual Events,April/June,Wildson Pickett Music & Arts Festival,"Free fesitval in honor of Wilson Pickett, a Prattville native.",wilsonpickettfestival.com,(334) 595.0850,,2025 entry — verify dates for 2026
Annual Events,January/March,Arbor Day Celebration,Celebrate Arbor Day and get a free tree.,prattvilleal.gov,(334) 595.0602,,2025 entry — verify dates for 2026
Annual Events,January/March,Art with a Heart,Held in February and raises funds for the Autauga Interfaith Care Center and Food Bank,artguild.prattvilleal.gov,(334) 595.0851,,2025 entry — verify dates for 2026
Annual Events,January/March,Bunny Shop Hop Craft & Vendor Show,Annual Spring Arts & Craft Show,Spinners1951@gmail.com,,,2025 entry — verify dates for 2026
Annual Events,January/March,Jewish Food Festival and Treasure Market,Jewish delicacies and pastries.,templebethor.net,(334) 262.3314,,2025 entry — verify dates for 2026
Annual Events,January/March,Millbrook Reveler Mardi Gras Festival and Parade,Largest Mardi Gras celebration north of Mobile. Lots of vendors and activities for the children.,millbrookrevelers.org,(334) 467.6726,,2025 entry — verify dates for 2026
Annual Events,January/March,Prattville Mardi Gras Parade,"Let the good times roll! Come join the fun with great food, arts, crafts, inflatables and the parade. Bring a bag and expect to catch some candy and beads.",prattvilleal.gov,(334) 358.0297,,2025 entry — verify dates for 2026
Annual Events,January/March,Southeastern Livestock Exposition Rodeo,"Grab your lasso and come on out and have some fun! We've got Cowboys, Cowgirls, Rodeo Clowns, Live performances and Xtreme bullfights.",bamabeef.org,(888) 2RODEO2,,2025 entry — verify dates for 2026
Annual Events,January/March,Wetumpka Mardi Gras Parade,"Variety of food, vendors. Bring your family out and enjoy the fun.",oocmardigras@gmail.com,,,2025 entry — verify dates for 2026
Annual Events,January/March,Zoo Weekend,Fundraising event with loads of entertainment and fun for the whold family.,montgomeryzoo.com,(334) 625.4900,,2025 entry — verify dates for 2026
Annual Events,July/September,AWF Wild Game Cookoff State Finals,"Annual AWF Cookoff, come enjoy tasting  the samples of food and silent auction.",alabamawildlife.org,(334) 285.4550,,2025 entry — verify dates for 2026
