guide_slug,group,category,subcategory,business_name,address,city,state,zip,phone,website,email,description,editorial_blurb,tier_2026,accepting_new_patients,serves_pediatrics,offers_military_discount,tags,needs_research,notes
newcomer-guide,Community & Connection,Mom Groups & Family Support,,MOPS (Mothers of Preschoolers),"First Baptist Church, 305 South Perry Street",Montgomery,AL,36104,(334) 241.5165,montgomeryfbc.org/mops,,"Support group for moms of preschoolers. Meet twice a month with motivational speakers, conversations with other moms and activities. Childcare provided.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Community & Connection,Volunteer & Family Service Opportunities,,[NEEDS RESEARCH],,,AL,,,,,,,,,,,,YES,"Family Sunshine Center, Common Ground, Hands On River Region, Saint Vincent de Paul, Habitat for Humanity, etc."
newcomer-guide,Date Nights & Adult Time,Babysitting & Childcare Services,,[NEEDS RESEARCH],,,AL,,,,,,,,,,,,YES,"NEW SECTION. Date-night sitter services, agency-based sitters, drop-in childcare for parents. 5-8 entries."
newcomer-guide,Date Nights & Adult Time,Date-Night Restaurants,,[NEEDS RESEARCH],,,AL,,,,,,,,,,,,YES,"NEW GROUP. Restaurants suitable for adult-only or romantic dinners (different from kid-friendly). Pull from existing Restaurant list and tag, OR add new entries. 10-15 entries."
newcomer-guide,Date Nights & Adult Time,Hotels & Local Staycations,,[NEEDS RESEARCH],,,AL,,,,,,,,,,,,YES,NEW SECTION. Hotels in the River Region offering staycation packages. 5-8 entries.
newcomer-guide,Date Nights & Adult Time,Spas & Couples Experiences,,[NEEDS RESEARCH],,,AL,,,,,,,,,,,,YES,"NEW SECTION. Spas offering couples treatments, wine bars, jazz clubs, theaters, comedy clubs. 8-12 entries."
newcomer-guide,Day Trips & Family Getaways,Beach & Coastal Getaways,,[NEEDS RESEARCH],,,AL,,,,,,,,,,,family-getaway,YES,"NEW SECTION. 30A area, Gulf Shores, Orange Beach. INCLUDE 30AMemories.com vacation rentals as Featured (Jason owns)."
newcomer-guide,Day Trips & Family Getaways,Day Trip Destinations,,Alabama Aquarium,102 Bienville Blvd.,Dauphin Island,AL,36528,(251) 861.7500,disl.edu,,,,free,,,,family-getaway,,2025 entry — verify for 2026
newcomer-guide,Day Trips & Family Getaways,Day Trip Destinations,,Alabama Safari Park,1664 Venable Road,Hope Hull,AL,36043,(334) 288.2100,alabamasafaripark.com,,,,free,,,,family-getaway,,2025 entry — verify for 2026
newcomer-guide,Day Trips & Family Getaways,Day Trip Destinations,,Alabama Splash Adventures Waterpark,4599 Splash Adventure Pkwy,Bessemer,AL,35022,(205) 481.4750,alabamaadventure.com,,,,free,,,,family-getaway,,2025 entry — verify for 2026
newcomer-guide,Day Trips & Family Getaways,Day Trip Destinations,,Alligator Alley,19950 Hwy 71,Summerdale,AL,36580,(251) 946.2483,gatoralleyfarm.com,,,,free,,,,family-getaway,,2025 entry — verify for 2026
newcomer-guide,Day Trips & Family Getaways,Day Trip Destinations,,Birmingham Zoo,2630 Cahaba Road,Birmingham,AL,35223,(205) 879.0409,birminghamzoo.com,,,,free,,,,family-getaway,,2025 entry — verify for 2026
newcomer-guide,Day Trips & Family Getaways,Day Trip Destinations,,Cook Museum of Natural Science,133 4th Ave. NE,Decatur,AL,35601,(256) 351.4505,cookmuseum.org,,,,free,,,,family-getaway,,2025 entry — verify for 2026
newcomer-guide,Day Trips & Family Getaways,Day Trip Destinations,,Great Wolf Lodge,150 Tom Hall Pkwy,LaGrange,Ga,30240,(844) 473.9653,greatwolf.com,,,,free,,,,family-getaway,,2025 entry — verify for 2026
newcomer-guide,Day Trips & Family Getaways,Day Trip Destinations,,Majestic Caverns,5181 Desoto Caverns Pkwy,Childersburg,AL,35044,(256) 378.7252,majesticcaverns.com,,,,free,,,,family-getaway,,2025 entry — verify for 2026
newcomer-guide,Day Trips & Family Getaways,Day Trip Destinations,,McWane Sciene Center,200 19th Street,Birmingham,AL,35203,(205) 714.8300,mcwane.org,,,,free,,,,family-getaway,,2025 entry — verify for 2026
newcomer-guide,Day Trips & Family Getaways,Day Trip Destinations,,OWA Parks & Resort,101 S OWA Blvd.,Foley,AL,36535,(251) 923.2111,visitowa.com,,,,free,,,,family-getaway,,2025 entry — verify for 2026
newcomer-guide,Day Trips & Family Getaways,Day Trip Destinations,,US Space and Rocket Center,1 Tranquility Base,Huntsville,AL,35805,(256) 721.7114,rocketcenter.com,,,,free,,,,family-getaway,,2025 entry — verify for 2026
newcomer-guide,Day Trips & Family Getaways,Mountain & Lake Getaways,,[NEEDS RESEARCH],,,AL,,,,,,,,,,,family-getaway,YES,"NEW SECTION. Lake Martin, Smith Lake, Smoky Mountains, Helen GA, north Alabama destinations"
newcomer-guide,Day Trips & Family Getaways,Theme Parks & Major Attractions,,[NEEDS RESEARCH],,,AL,,,,,,,,,,,family-getaway,YES,"NEW SECTION. Six Flags, Lake Winnie, Stone Mountain, Atlanta Aquarium, Birmingham Zoo memberships"
newcomer-guide,Faith Communities,Catholic,,[NEEDS RESEARCH],,,AL,,,,,,,,,,,,YES,"NEW GROUP. Catholic parishes in the River Region, Mass times, kids programs."
newcomer-guide,Faith Communities,Jewish,,[NEEDS RESEARCH],,,AL,,,,,,,,,,,,YES,"NEW SECTION. Temple Beth Or, Agudath Israel."
newcomer-guide,Faith Communities,Non-Denominational,,[NEEDS RESEARCH],,,AL,,,,,,,,,,,,YES,"NEW SECTION. Frazer, Evangel, Common Ground, etc."
newcomer-guide,Faith Communities,Other Christian Denominations,,[NEEDS RESEARCH],,,AL,,,,,,,,,,,,YES,"NEW SECTION. Episcopal, Lutheran, Pentecostal, Church of Christ, etc."
newcomer-guide,Faith Communities,Other Faith Communities,,[NEEDS RESEARCH],,,AL,,,,,,,,,,,,YES,"NEW SECTION. Mosques, other faith traditions present in the River Region."
newcomer-guide,Faith Communities,Protestant - Baptist,,[NEEDS RESEARCH],,,AL,,,,,,,,,,,,YES,"NEW SECTION. SBC, Independent, etc."
newcomer-guide,Faith Communities,Protestant - Methodist,,[NEEDS RESEARCH],,,AL,,,,,,,,,,,,YES,"NEW SECTION. UMC, AME, etc."
newcomer-guide,Faith Communities,Protestant - Presbyterian,,[NEEDS RESEARCH],,,AL,,,,,,,,,,,,YES,NEW SECTION.
newcomer-guide,Family Activities,Fun for Kids,,2211 Ultimate Playzone,3541 McGehee Road,Montgomery,AL,36111,(334)593.7180,2211ultimateplayzone.com,,Great place for some family fun! Roller skating and large Fun Zone for kids to join in with hands-on activities.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Fun for Kids,,Launch Trampoline Park,891 Boardroom Drive,Prattville,AL,36066,(334) 568.2041,launchtrampolinepark.com,,"Looking for something to do indoors? Launch Trampoline Park has trampoline courts, Dodge ball, Basketball, Knockout, Launch Pad, Tumble Traks, Laser Tag, The Challenger, Battle Pit, Launch Eats and Arcade.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Fun for Kids,,Newtopia,3731 Malcolm Drive,Montgomery,AL,36116,(334) 356.4518,newtopiafunpark.com,,Large indoor play arena with many activities for your children to enjoy. Café with free wifi available for parents to sit back and relax while their children play.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Fun for Kids,,Roller Palace at Eastdale Mall,1000 Eastdale Mall,Montgomery,AL,36117,(334) 277.2088,shopmalls.com,,Skate indoors year round.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Fun for Kids,,Skyzone Trampoline Park,5544 Atlanta Highway,Montgomery,AL,36117,(334) 239.2587,skyzone.com,,Jump and soar in our open trampoline park. Café and tables provided for parents.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Libraries,,Autauga-Prattville Public Library,254 Doster Street,Prattville,AL,36067,(334) 365.3396,appl.info,,,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Libraries,,Coliseum Boulevard Branch Library,840 Coliseum Blvd.,Montgomery,AL,36109,(334) 271.7005,mccpl.lib.al.us,,,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Libraries,,E.L. Lowder Regional Branch Library,2590 Bell Road,Montgomery,AL,36117,(334) 625.5717,mccpl.lib.al.us,,,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Libraries,,Hampstead Library,5251 Long Acre Street,Montgomery,AL,36116,(334)244.5770,mccpl.lib.al.us,,,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Libraries,,Juliette Hampton Morgan Memorial Library,245 High Street,Montgomery,AL,36104,(334) 625.4999,mccpl.lib.al.us,,,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Libraries,,Millbrook Public Library,3650 Grandview Road,Millbrook,AL,36054,(334) 285.6688,cityofmillbrook.org,,,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Libraries,,Pike Road Branch Library,9585 Vaughn Road,Pike Road,AL,36064,(334) 244.8679,mccpl.lib.al.us,,,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Libraries,,Wetumpka Public Library,212 South Main Street,Wetumpka,AL,36092,(334) 567.5147,wetumpkalibrary.com,,,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,Alabama Department of Archive & History,624 Washington Avenue,Montgomery,AL,36130,(334) 242.4435,archives.state.al.us,,Take a glimpse into Alabama's past with valuable preserved records and artifacts at the Alabama Department of Archives and History.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,Alabama State Capitol,600 Dexter Avenue,Montgomery,AL,36130,(334) 242.3184,ahc.alabama.gov,,Schedule a tour of one of the oldest capitols and learn about the history of Alabama.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,Biscuits Baseball,200 Coosa Street,Montgomery,AL,36104,(334) 323.2255,milb.com,,Love baseball? Come join us for a great season of Biscuits Baseball at the Riverwalk Stadium. Concessions available. Stay and watch the fireworks after scheduled games.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,Blount Cultural Park,Festival Drive,Montgomery,AL,36117,(334) 625.2300,funinmontgomery.com,,"Beautiful park located between ASF and MMFA. Bring the kids to fly a kite, have a picnic by one of the beautiful lakes or walk the many walking trails. Visit the Shakespeare garden and the dog park.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,Centre for African American Culture,1345 Carter Hill Road,Montgomery,AL,36106,(334) 229.4824,lib.alasu.edu,,"Offers classroom instruction and curriculum through its living museum, seminars, and publications. Is open to all who are interested in studying the modern civil rights movement.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,Civil Rights Memorial Center,400 Washington Avenue,Montgomery,AL,36104,(334) 956.8200,splcenter.org,,The Civil Rights Memorial was built to honor the 41 people killed in the struggle for equal and integrated treatment of all people.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,Dextre Avenue King Memorial Baptist Church,454 Dexter Avenue,Montgomery,AL,36104,(334) 263.3970,dexterkingmemorial.com,,"Known for Dr. Martin Luther King, Jr.'s hope and change speech.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,Dr. Martin Luther King's Home,309 S Jackson St,Montgomery,AL,36104,(334) 261.3270,dexterkingmemorial.com,,"Parsonage where Dr. Martin Luther King, Jr. lived.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,First White House of the Confederacy,644 Washington Avenue,Montgomery,AL,36104,(334) 242.1861,firstwhitehouse.org,,The residence where President Jefferson Davis and his family resided when the Confederate States of American was in Montgomery.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,Fort Toulouse/Jackson Park,2521 W. Fort Toulouse Road,Wetumpka,AL,36093,(334) 567.3002,fttoulousejackson.org,,Historic Fort near the City of Wetumpka founded by the French in 1717.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,Freedom Monument Sculpture Park,831 Walker Street,Montgomery,AL,36104,(334) 386.9100,,,"Newly finished, 17 acre site near Alabama River that honors 10 million African Americans enslaved in America.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,Governor's Mansion,1142 S. Perry Street,Montgomery,AL,36104,(334) 242.7100,governor.alabama.gov,,13 First families have resided here in the past 60+ years. Free guided tours with reservations.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,Harriott II,255 Commerce Street,Montgomery,AL,36104,(334) 625.2100,funontheriver.net,,Enjoy a scenic ride on the Alabama River on the Harriott II. Book for parties and reserve a spot on their dinner cruises.  Scenic lunch and dinner cruises available.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,Meteor Crater,408 S. Main Street,Wetumpka,AL,36092,(334) 567.5147,meteorcrater.com,,One of the greatest natural disasters in the history of Alabama. Come see the 5 mile wide impact crater.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,Montgomery Zoo,2301 Coliseum Blvd.,Montgomery,AL,36110,(334) 240.4900,montgomeryzoo.com,,"This 40 acre zoo is divided into 5 continents. Ride the skylift, rent a paddle boat, take a train  or walk the beautifully landscaped pathways to view over 500 animals.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,National Memorial for Peace and Justice,417 Carolina Street,Montgomery,AL,36104,(334) 386.9100,museumandmemorial.eji.org,,Dedicated to the legacy of enslaved African Americans. Reflect America's history of racial inequality.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,Old Alabama Town,301 Columbus Street,Montgomery,AL,36104,(334) 240.4500,oldalabamatown.com,,Old Alabama Town is a collection of restored 19th and 20th Century structures that display the lives of the people who settled and developed Central Alabama.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,Prattville Creek Walk,Downtown Prattville,Prattville,AL,36067,,,,"Take a beautiful walk around Prattville's Creek with spots to sit and enjoy the view, partkae in the unique food offered in the area and shop specialty boutiques.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,The Alley,133 Tallapoosa Street,Montgomery,AL,36104,(334) 387.3333,alleystation.com,,"Modeled after New Orleans, the Alley offers unique restaurants, bars and shops.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Local Attractions,,W.A. Gayle Planetarium,1010 Forest Avenue,Montgomery,AL,36106,(334) 625.4799,montgomery.troy.edu/planet,,"Auditorium setting with a 50 foot domed ceiling. View the planets, sky and many other show throughout the year. Located in the beautiful Oak Park.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Museums,,Alabama Cattleman's MOOseum,201 S. Bainbridge Street,Montgomery,AL,36104,(334) 265.1867,bamabeef.org,,Hands on agricultural education center for children . They can dress up as cowboys and cowgirls.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Museums,,Dexter Parsonage Museum,309 S. Jackson Street,Montgomery,AL,36104,(334) 261.3270,dexterkingmemorial.com,,Take a tour of the home where Martin Luther King and his family lived during the Civil Rights Movement.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Museums,,F. Scott and Zelda Fitzgerald Museum,919 Felder Avenue,Montgomery,AL,36106,(334) 264.4222,thefitzgeraldmuseum.org,,This museum is dedicated to the lives of the Fitzgerald's during their stay in Montgomery. Come and visit us for a tour or one of our yearly local events.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Museums,,Freedom Rides Museum,210 South Court Street,Montgomery,AL,36104,(334) 414.8647,freedomridesmuseum.org,,Come see how 21 people changed history using non-violent protest methods.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Museums,,Hank Williams Museum,118 Commerce Street,Montgomery,AL,36104,(334) 262.3600,thehankwilliamsmuseum.net,,"Museum dedicated in the preservation the country star's memorabilia, instruments and more.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Museums,,Legacy Museum,115 Coosa Street,Montgomery,AL,36104,(334) 386.9100,museumandmemorial.eji.org,,Displays the history of racism and hatred in America,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Museums,,Mann Wildlife Learning Museum,325 Vandiver Blvd.,Montgomery,AL,36110,(334) 240.4900,mannmuseum.com,,Visit and learn about North American wildlife in a realistic setting of their natural habitat.  Located at The Montgomery Zoo.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Museums,,Museum of Alabama,142-158 S Union St,Montgomery,AL,36104,(334) 242.4435,museum.alabama.gov,,"Come and view the exhibitions and collection, take an art class, participate in our many events or visit the interactive kids room.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Museums,,Rosa Parks Library and Museum,208 Montgomery Street,Montgomery,AL,36104,(800) 414.4756,troy.edu,,Memorial to the life Rosa Parks and  the Montgomery Bus Boycott.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Parks,,Ida Bell Young Park,5400 Vaughn Road,Montgomery,AL,36116,(334) 625.2300,funinmontgomery.com,,"Playground, tennis courts and walking trails. Picnic area and bathrooms available.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Parks,,Lagoon Park,2855 Lagoon Park Drive,Montgomery,AL,36109,(334) 240.4050,funinmontgomery.com,,"5 miles of biking and walking trails, playgrounds, batting cages and tennis courts.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Parks,,Legacy Park,1889 Deatsville Hwy,Millbrook,AL,36054,(334) 290.2047,cityofmillbrook.org,,Covered pavillion with picnic tables and walking trails.,,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Parks,,Memorial Center Park,3168 Park Circle,Millbrook,AL,36054,(334) 285.7277,cityofmillbrook.org,,"Walking trails, creek and Kids Kingdom Playground.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Parks,,Pratt Park,460 Doster Road,Prattville,AL,36067,(334) 595.0080,prattvilleal.gov,,"Walking trails, ""A Child's Place"" Playground, Splash pad and community pool.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Parks,,Riverfront Park,335 Coosa Street,Montgomery,AL,36104,(334) 625.2100,funinmontgomery.com,,"Entertainment on the banks of the Alabama River. Splash pad, river boat rides, concerts at the Amphitheatre and biscuits baseball near by.",,free,,,,,,2025 entry — verify for 2026
newcomer-guide,Family Activities,Parks,,The Rex,3630 Edgewood Road,Millbrook,AL,36054,(334) 517.6022,rexvenue.com,,Great place for adults and kids to hang out Food trucks and outdoor bar offered.,,free,,,,,,2025 entry — verify for 2026
