advertiser,category,business,location,address,city,state,zip,phone,website,email,ages,description,
a,,United Gymstars & Cheer Camp,,6100 Brewbaker Blvd.,Montgomery,AL,36116,(334) 284.2244,unitedgymstarsandcheer.com,,Age varies by camp,"June 1- July 24 and July 7-25 - 8 week Summer Camp, Weekly themed activities, gymnastics, trampoline, rope climbing, crafts and more. Time: 7:30 a.m. to 4 p.m. Ages: 5-12.  Please bring a sack lunch.   Call for rates.",
,,Armory Athletics,,1018 Madison Avenue,Montgomery ,AL,36104,(334) 625.2789,armoryathletics.com,armoryathletics1@gmail.com,Ages 5-14,"Year round classes offered.                                         Sports and recreation, swimming, arts & crafts, and educational field trips!  Parents, please provide lunches, swim wear & towel, concession money, and socks and closed toed shoes for field trips.",
,,C.J.S Dance Factory (home of the Prattville Ballet)  ,Prattville Ballet,145 S. Court Street,Prattville ,AL,36067,(334) 467.8603,cjsdancefactory.com ,ballerinasrule@msn.com,Age varies by camp,"PRINCESS BALLERINA CAMP - Learn to dance like a princess! Taught by a real princess. Ages 3-9, $85 space limited. June 25-July 23, 2 p.m.                                                            POWER TUMBLE CAMP - Learn gymnastics tumble technique and polish your tricks!  Thursdays, June 25-July 23 at 5:30 p.m., $85.                                       BALLET  TECHNIQUE/POINTE-Work on your ballet technique this summer with our Ballet Master, Stevan Grebel (Int/Adv. level) Bring pointe shoes. Thursdays, June 25-July 23. $85 ",
,,Montgomery Ballet,,440 Coliseum Blvd,Montgomery,AL,36109,(334) 409.0522,montgomeryballet.org,,Age varies by camp,"Summer Intensive Sessions: Advanced, June 8-11  for ages 13+ with experience. Intermediate Level, June 15-18 for ages 7-12+.  Beginner Level, June 22-July 25 for ages 3-6.                                                    Ballet Boot Camp: August 3-6. Advanced level from 9 a.m. until noon and Beginner and Intermediate Level  , ages 7-12+, from 1-4 p.m.                 ",
,,Pike Road Dance Academy,,232 West Elizabeth Lane,Pike Road,AL,36013,(334) 782.9200,pikeroaddance.com,pikeroaddance@gmail.com,Age varies by camp,Camps will be listed on our website soon.  Please check our website for updates and information. ,
,,Tutu School Montgomery,,2960G Zelda Road,Montgomery,AL,36106,(334) 363.3360,tutuschool.com,,3-8 years,"Fairy Finishing Camp, 4 days starting June 29-July 2 from 9 a.m. until 2 p.m. . $260.00 for ages 3-8 years.
        ",
 ,Day Camps,Camp Sunshine for Boys,,3067 Carter Hill Road,Montgomery,AL,36111,(334) 262.2697,tukabatcheebsa.org,,Ages 6-11,To be announced,
 ,,YMCA Cleveland Branch,,1201 Rosa L. Parks Avenue,Montgomery,AL,36108, (334) 265.0566,ymcamontgomery.org,, Ages 3-12,"10 weeks of Youth Specialty Camps, May 26 until July 31.",
a,,Alabama Christian Academy Camp Eagle,,4700 Wares Ferry Road,Montgomery,AL,36109,(334) 277-1985,acacampeagle.org ,dsanford@alabamachristian.org,1st-5th Grade,May 26-July 31 Every day at Camp Eagle is filled with exciting activities - and LOTS of them!! Your child will be placed in age-appropriate groups and get to participate in recreational and team building activities.  We would love for you to join us as we soar into a summer of fun!!,
a,,Alabama Christian Academy NEST,,4700 Wares Ferry Road,Montgomery,AL,36109,(334) 277-1985,acacampeagle.org ,dsanford@alabamachristian.org,K3-K5 Grades, May 26-July 31. We would love for you to join us as we soar into a summer of fun!!  Please call for more information.,
a,,Alabama Wildlife Federation  ,,3050 Lanark Road,Millbrook,AL,36054,(334) 285.4550,alabamawildlife.org,,Age varies by camp,"ANC Summer Camp
Camp dates and sessions offered from May 26 through August 7. Please visit our website for session dates and descriptions for each camp.  All camp sessions are co-ed and full day, 8:30 a.m. to 3:30 p.m.; with the exception of Tadpole Camp.  Lunch is included and extended care is available.

Tadpole Camp for ages 5 years.
Nature Navigators for ages 6-7 years.
Trail Blazers 4-day camp for ages 8-9.
Heritage Explorers for ages 10-11.
High Adventure for ages 12-15.
ARTventure for ages 8-12.
Fishing Fundamentals for ages 10-15.
Gross Out Camp Sponsored by Fresh Air Family for ages 6-9.
",
a,,Camp Eagle,Montgomery Academy,3240 Vaughn Road,Montgomery,AL,36106,(334) 272.8210,montgomeryacademy.org,info@montgomeryacademy.org,Grades 1-5,"Camp Eagle: June 2-6, June 9-13, June 16-20, June 23-27, July 7-11, July 14-18 and July 21-25. $235 for the full week or $65 a day. Camp Eagle may be combined with some of our other camps. Please visit our website for more information and pricing. ",
a,,Connect Camp ,Heritage Baptist Church,1849 Perry Hill Road,Montgomery ,AL ,36106,,connectcamps.com/montgomery,,Ages: K-8th Grade,"July 13-17. A remarkable day camp experience is coming back to the River Region! Non-stop fun and active play.  Bible-based teachings, and new friends for the entire family.  $264 all inclusive 5 day pricing.",
a,,Montgomery Academy Summer Camps,,1550 Perry Hill Road,Montgomery,AL,36106,(334) 273.7170,montgomeryacademy.org/summer,,Age varies by camp,"Summer at The Montgomery Academy offers a variety of camp programs. With programs ranging from academic to athletics, coding to writing, crafts to fun and games, there is something for every child's interest! Explore our camp offerings, schedules and register online at montgomeryacademy.org/summer and get ready for an aMAzing summer!

For more information, please contact Jennie Kim Rains, Director of Auxiliary Programs and Civic Engagement at summer@montgomeryacademy.org",
a,,Montgomery Parks and Recreation Summer Programming,,,,,,(334) 625.2300,funinmontgomery.com,,Ages 6-17,June 1-July 24. Summer Registration Event is April 5 from 10AM-1PM at Oak Park. We'll have a ton of fun things for kids to do and free food for families to enjoy. ,
a,,Summer Camp Program at AIM Academy,,530 Antioch Lane,Pike Road,AL ,36064,(334) 649.8341,youraimacademy.com,,Ages 5-10,"May 27-July 31                                                                    Hours:  6:45am to 6:00pm,  Mon. - Fri
Our Summer Camp Program is designed specifically for children
Ages : 5-10 years
The program lasts 10 week beginning
Discount available if you pre-register for the entire 10 weeks.
Limited spots available, first come first serve
",
a,,Trinity School Day Camps ,Trinity Presbyterian School,1700 East Trinity Blvd.,Montgomery,AL,36106,(334) 213.2100,trinitywildcats.com,,Age varies by camp,"Camp Dates and ages to be announced soon.                                                 ***more to come
Please refer to Trinity Presbyterian School website for more information at www.trinitywildcats.com/summercamps                                 ",
,,Alabama State University SKYCAP/ReImagined 2025,Ralph David Abernathy Auditorium,915 S. Jackson Street,Montgomery,AL,36104,(334) 229.4686 or (334) 229.4317,alasu.edu/continuingeducation,,1st-12th Grade,"Dates to be announced.                                         Alabama State University's Division of Continuing Education is bringing their Summer Youth/Kids College Adventure Program (SKYCAP) back with online and face-to-face options! SKYCAP Reimagined, a newly designed program, is a fun-filled college learning adventure for children and youth in grades 2 - 9.  SKYCAP Reimagined will support students in their journey to academic and personal success.  While participating in the SKYCAP Reimagined program participants will enhance their academic skills, explore natural and social sciences, focus on creative expression, learn health and physical fitness, and reinforce STEAM skills. Contact the Division of Continuing Education at 334-229-4788 for specific details on weekly camp locations, dates and times. Visit our website at www.alasucontinuinged.com for more information on our Youth Programs and ASU's Kids Academy offerings. ",
,,Camp Chandler - YMCA,,,,,,,,,,June 1-July 24 with 9 sessions be offered. Camp Chandler will be offering day camp Monday through Friday for eight weeks this summer for children ages 5 to 12. Hot breakfast and lunch will be provided. Day camp is perfect for first-time campers or anyone who wants to participate in some of our famous Camp Chandler activities with our fun-loving Camp Chandler staff.,
,,Camp Grandview  YMCA ,,4700 Camp Grandview Road,Millbrook,AL,36054,(334) 290.9622,ymcamontgomery.org,,Ages 5-15,"Dates: May 26 - August 7                                           Grandview Family YMCA Summer Day Camp is an action-packed outdoor experience led by highly trained and imaginative YMCA staff, located on 190 wooded acres with two beautiful lakes. As a Day Camp, our facilities are unmatched; a water park, lap pool, an airnasium, fishing pond, athletic fields, hiking trails, mud pit, disc golf, ga-ga pits, an archery range, art and game room, and a gymnasium. This camp is for children that have completed kindergarten through 10th grade. Find more info at ymcamontgomery.org.",
,,Girl Scouts of Southern Alabama,,3483 Springhill Avenue,Mobile,AL,36608,(800) 239.6636,girlscoutssa.org,,,"During June and July, we offer opportunities for Residential or Sail Away camp for every girl, whether they are a Girl Scout or not. ",
,,Montgomery Zoo ,,2301 Coliseum Parkway,Montgomery,AL,36110,(334) 240.4900                                                                                                                                           ,montgomeryzoo.com,,Age varies by camp,"THE QUEST OF THE SUMMER! Make summer vacation a wildlife adventure that you will never forget. Join kids of similar ages and interests for a fun-packed, educational experience themed around ZOOFARI WORLD QUEST. See daily live animal presentations; get up close and personal with some of the Educational animals at the Montgomery Zoo; enjoy scavenger hunts; craft time; classroom time; playtime, train, and sky lift rides; participate in animal encounters with the giraffes, river otters, parakeets and our collection of petting zoo animals; see behind the scene tours and visits with our zookeepers, and other staff members.
 Camps are available for ages 5-12 years old; full-day camps.
Camps and Dates
June 1-5; 5-6 year olds
June 8-12: 5-6 year olds
June 15-19: 7-8 year olds
June 22-26: 7-8 year olds
July 6-10: 9-10 year olds
July 13-17: 9-10 year olds
July 20-24: 11-12 year olds",
,,YMCA East Branch,,3407 Pelzer Ave,Montgomery,AL,36109,(334) 272.3390,ymcamontgomery.org,,Ages 4-11," 10 weeks of Youth Specialty Camps, May 26 until July 31.",
,,YMCA Goodtimes,,2325 Mill Ridge Drive,Montgomery,AL,36117, (334) 279-8666,ymcamontgomery.org,,Ages 4-11,"May 26-July 31.  Summer Goodtimes Day Camp: At the Y this summer, children ages 4 to 11 can do everything from learning how to swim improving their reading skills. Every day your child will participate in learning enrichment activities that stretch their mind, daily devotions that will teach them character through skits and songs, and health and nutrition through the daily snack and lunch program. Summer Goodtimes Day Camp will be offered at Cleveland YMCA, East YMCA, Goodtimes Center, and Wetumpka YMCA. www.ymcamontgomery.org",
,,YMCA Montgomery Emory Folmar Soccer Complex,,300 Brown Springs Road,Montgomery,AL,36117,(334) 396.9754,ymcamontgomery.org,,Age varies by camp,"The YMCA of Greater Montgomery is inspiring youth by teaching the fundamentals of the game of soccer. These skills will assist in the overall development of the youth that are participating. They will learn how to pass, shoot, one-touch, throw -in, free kick, penalty kick, goal keeping, offense and defense. Participants will have comprehension of the rules and terminology of the game of soccer.  Please check our website for Soccer Camp dates and details.",
,,YMCA Prattville ,Smith Branch and East Bradford Branch,600 East Main Street and 972 McQueen Smith Rd. S,Prattville ,AL,36067,"East Bradford Branch, (334) 358.9622
",prattvilleymca.org,,Ages 6-12,"Prattville YMCA Summer Day Camp, girls and boys ages 6-12.  Begins May 26  August. Mon.  Friday from 7 a.m. until 6 p.m.  Summer Day Camps are available at Daniel Pratt Elementary School, Main and Pine Level Elementary School. For more information contact the YMCA Childcare Branch at (334) 358-1446. Online registration available at prattvilleymca.org. Financial assistance available for those who qualify.
 Gymnastics and Cheer Camp, Ages 5 ½ and up. Dates to be announced. For more information call YMCA Don M. Smith Branch, 365.8852
 Super Summer Sport Camps, Mon-Thurs, 9 a.m.- 12 p.m.  YMCA Bradford Branch  358-9622
Sports Camp Dates will be available May 1.
Girls Volleyball Camp, Ages 8-12
Girls Basketball Camp, Ages 6-12
Boys Basketball Camp, Ages 6-12
Fishing Camp, Ages 8-16
Boys Baseball Camp, Ages 6-12
Girls Softball Camp, Ages 6-12
Soccer Camp, Ages 6-12
Outdoor Adventure Camp: Boys & Girls, ages 9-16. Members and Non-Members. Dates will be available May 1
  Prattville YMCA Camp 2:22 Teen Camp, rising 7th graders  rising 9th graders, girls and boys.  Begins May 26-August. Mon.  Friday from 7 a.m. until 6 p.m.  Camp 2:22 is held at the Bradford Branch on McQueen Smith Road. For more information contact the YMCA Bradford Branch at (334) 358-9622. Online registration available at prattvilleymca.org. Financial assistance available for those who qualify.
 ",
,,YMCA Wetumpka,,200 Red Eagle Road,Wetumpka,AL,36092,(334) 567-8282,ymcamontgomery.org,,Ages 5-12,"Summer Camp Dates, May 26- July 31. Please call for more information on times and fees.",
,,YMCA Wilson,,1445 New Park Drive,Montgomery,AL,36117,(334) 356.8471,ymcamontgomery.org,,Ages 5-12,"Summer Camp Dates, May 26-July 31. Please call for more information on times and fees.",
a,Education/Science/Technology Camps,Read Write Learning Center Summer Camp,,6752 Taylor Circle,Montgomery,AL,36117,(334) 328.2134,readwritelearningcenter.com,,3rd-8th Grade,"TBA. Camp is open to any and all entrants and only limited by number, age, grade level and/or gender.",
,,ACT Bootcamp,Cloverdale Baptist Church,608 East Fairview Ave. ,Montgomery ,AL,36106,(334) 524.7371,leestestprep.com,Link on website,Ages 14 to adult,"June 8-12 and July 6-10.  Lee Gonet's unique method of having students take multiple practice tests, individually rework missed problems, and then review error types in group settings improves students scores dramatically, increasing ACT composites from 2 to 12 points in just a weeks time. This intensive prep class is Monday through Friday, includes book, practice tests, handouts, water, snacks, and 40 hours of testing and instruction.

",
,,Mathnasium Summer Power Math Workout Programs,,3453 Malcolm Drive (Taylor Road at Billingsley Place Promenade),Montgomery,AL,36117,(334) 521.8327,mathnasium.com/eastmontgomery,,2nd-12th Grade,"Mathnasium in the Summertime Solidify foundations, improve understanding, and get ahead on next years concepts in a fun,
low-pressure environment.                                               ",
,,Science Matters Camp,Auburn University,249 Sciences Center,Auburn,AL,36849,(334) 844.5769,auburn.edu/cosam/outreach/stem_outreach/programs/science-matters/index.htm,kristenjackson@auburn.edu,Age varies by camp,"June 1-July 17. Science Matters is a summer enrichment program for elementary students offering a supercharged science experience. Camp sessions broken down by 1st/2nd, 3rd/4th, 5th/6th and 7th/8th graders.",
,,SCORE 2026,Auburn University,,Auburn,AL,36849,(334) 844.8125,scoreau.org,kisrael@auburn.edu,Age varies by camp,"9 1-week camps offered between June and July.  SCORE Summer camps are hosted by the Southeastern Center of Robotics Education at Beard-Eaves Memorial Coliseum. With years of experience and success with summer camps, SCORE offers an investment in your child's future. We hire certified teachers to ensure your camper is getting the best experience while we immerse them in the robotics world.
SCORE's mission serves to inspire and prepare future generations of STEM professionals by developing and delivering student robotics programs, online robotics resources, and professional development for educators.",
,,Sylvan Individualized Tutoring Camp,,4240 Lomac Street,Montgomery,AL,36106,(334) 262.0043,sylvanlearning.com/Montgomery,CD@montgomerysylvan.com,,"This summer, all families can take advantage of our special summer session pricing! Each session will be $35 (normally $45), making it easier than ever to keep your child engaged and on track during the break. This special pricing is available all summer long!

Let us help your child build confidence and stay ahead-reach out for more details at 334-262-0043!  ",
a,Educational/Training/Miscellaneous ,Montgomery Academy Educational Camps,,3240 Vaughn Road,Montgomery,AL,36106,(334) 272.8210,montgomeryacademy.org,info@montgomeryacademy.org,Age varies by camp,"Robotics : 3-6 Grade, June 2-4 and July 21-23; Speech & Debate: 7-12 Grades, June 9-13 and July 7-11; ACT Math Prep: 9-12 Grades, June 10-12; ACT English Prep: 9-12 Grade, June 24-26; Pre-Algebra Math Enrichment: 7-9 Grade, July 22-24. Some or our Educational Camps can be combined with Camp Eagle. Please visit our website for more information and pricing. ",
a,Horseback Riding/Equestrian Camps,Riverview Camp for Girls,,757 County Road 614,Mentone,AL,35984,(800) 882.0722,riverviewcamp.com,,Age varies by camp,"May 31 - July 24. Short Term 1-week sessions
Long Term 2-week sessions
Riverview is embraced by tall graceful pines and billowing hardwoods, nestled into a bend of Little River atop Lookout Mountain. Beautiful flower gardens grow along the pebble pathways and building entrances throughout the campground. Girls live in simple yet lovely rustic cabins with the modern conveniences necessary to make camping comfortable.
Other: ACA accredited. Free video and catalog. Non-denominational Christian camp. More than 15 activity choices available, including daily horseback riding, climbing tower, pool, tennis courts and ropes course
Ages: Girls Ages 6-16",
,,MANEs Unified Summer Camp,,3699 Wallahatchie Road,Pike Road,AL,36064,(334) 213.0909,maneweb.org,,Ages 4-14,"4 weekly Camp sessions.  Cost $250 per week. May 26-28, June 2-4, June 16-18 and June 23-25.  Riders must be between the ages of 4-12. ",
,,"Valley View Ranch
Equestrian Camp for Girls ",Lookout Mountain,606 Valley View Ranch Road,Cloudland,GA,30731,(706) 862-2231 ,valleyviewranch.com,info@valleyviewranch.com,"Girls, 8-17","1-1 Week session, 3 Two Week sessions and 1-3 week session offered.  Horse lovers paradise since 1954!  Atop Lookout Mountain, for 50 girls, 8-17; 600 acres, English, Western, Barrels, Vaulting, and Trails.  CHA instructors teach beginner to advanced riders. Spend 4-6 hours daily with your OWN camp horse. The Jones family are third generation horse lovers, camp administrators, and equine educators making girls dreams come true!",
,Martial Arts,"Camp NextGen at NextGen Martial Arts
in Prattville",,698 Old Farm Lane,Prattville ,AL,36066,Todd Newsom at (334) 590-3759 ,nextgenmartialarts.com,todd@nextgenmartialarts.com,Age varies by camp,Dates to be announced. ,
,,Family Karate Center          ,Peppertree Shopping Center,8159 Vaughn Road,Montgomery,AL,36116,(334) 220.9319,,,Ages 2+,Kids Karate camp for summer program offered every day. Ages 2 years old and up. ,
,,Fleming's Martial Arts,,5521 Wares Ferry Road,Montgomery,AL,36117,(334) 277.5425,flemingsmartialarts.net,,,Summer Camps all summer from June-July. Please call for more information.,
a,Overnight Camps,Camp Woodmont,,381 Moonlight Drive,Cloudland,GA,30731,(706) 398.0739,campwoodmont.com,,Ages 6-14,Dates: May 31-July 24:  Eight one-week sessions and Four 2-week sessions. Summer Camp for Boys and Girls. ,
a,,Riverview Camp for Girls,,757 County Road 614,Mentone,AL,35984,(800) 882.0722,riverviewcamp.com,,"Ages 6-16, varies by camp","May 31- July 24                                                         Short Term 1-week sessions
Long Term 2-8 week sessions
Other: ACA accredited. Free video and catalog. Non-denominational Christian camp. More than 15 activity choices available, including riding, climbing tower and ropes course. New pool and new tennis courts.",
,,Adventure Treks ,,1899 Berea Church Road,Hendersonville ,NC,28739,(888) 954.5555,adventuretreks.com,info@adventuretreks.com,Ages 12-18,"Pacific Northwest, British Columbia, Yellowstone, California, Ultimate Northwest, Alaska, and Leadership Summit. Each 1330 day Adventure includes a wide variety of exciting wilderness activities such as rock climbing, whitewater rafting, sea kayaking, mountain biking, canoeing, mountaineering, and backpacking in some of the most breathtaking scenery in western.",
,,Alpine Camp for Boys,,P. O. Box 297,Mentone,AL,35984,(256) 634.4404,alpinecamp.com,summer@alpinecamp.com,Age varies by camp,Call for CD-ROM with video; Junior Camp: (Grades 1-5) May 30-June 6; (Grades 2-9) First Term: June 8-July 3; (Grades 2-9) Second Term: July 6-31.,
,,Camp Alamisco,,1771 Camp Alamisco,Dadeville,AL,36853,(334) 272.7493 ,campalamisco.org,Alamiscocamp@gmail.com,Age varies by camp,"Aquatics Camp, June 7-14, ages 13-16                        Adventure  Camp, June 7-14, ages 7-9.
Junior Camp, June 14-21, ages 10-12.
Teen Camp, June 21-28, ages 13-16.",
,,Camp Chandler - YMCA,,1240 Jordan Dam Road,Wetumpka,AL,36092,(334) 269.4362,campchandler.org,campchandler@mcamontgomery.org,Age varies by camp,"YMCA Camp Chandler provides youth the opportunity to build meaningful relationships, develop new skills, and create memories that last a lifetime. Campers have an opportunity to attend day or overnight camp and enjoy amazing camp activities such as Swimming, Blobbing, Horseback Riding, Canoeing, Archery, Air Rifles, Sailing, Fishing, Skiing, and so much more. Visit our camp website and explore the many summer options we have for campers ages 5-15.",
,,Camp Coleman,,4010 Camp Coleman Road,Camp Coleman,AL,35173,(256) 365.2970 or  (800) 734.4541,campcoleman.org,,Age varies by camp,Various camps offered between June 6-17. Please visit our website for Camp themes and dates.,
,,Camp Cosby - Birmingham YMCA ,,2290 Paul Bear Bryant Road,Alpine,AL,35014,(800) 852.6729,campcosby.ymcabham.org,cinfo@campcosby.org,Ages 6-16,"Eight different sessions ranging in many different age groups. Camp dates begin on Sunday, May 31 -July 24. Ages 6-16.",
,,Camp Hollymont for Girls,,339 Nacoochee Drive,Rabun Gap,GA,30568,(828) 686.5343,hollymont.com,4info@hollymont.com,"Ages 7-15, Girls ","Length: 6,13, 20 or 27 days; Camps Dates begin June 14-July 24.",
,,Camp Juliette Low,,321 Camp Juliette Low Road,Cloudland,GA,30731,(770) 862.2169,cjl.org ,info@cjl.org,"Ages 7-17, Girls","Dates: June 7-August 7; Length: 1, 2, & 3 weeks; Girls only.",
,,Camp Kiwanis,,2365 Camp Kiwanis Road,Eclectic,AL,36024,(800) 239.6636,girlscoutssa.org,Link on website,2nd-12th Grade,4 Sessions available: Beginning June 7 through  June 19. Please visit our website for more information and to register.,
,,Camp Laney,,916 West River Road,Mentone,AL,35984,(256) 634.4066,camplaney.com,info@camplaney.com,"Ages 7-15, Boys",4- 2 Week sessions. Sessions begin May 31-July 24,
,,Camp Mac Summer Camp for Boys and Girls,,2671 Cheaha Road,Munford,AL,36268,(256) 362.7449,campmac.com,office@campmac.com,1st-8th Grade,"6 Day Mini Terms, Grades 1st-4th grade; 11 day Junior Terms, Grades 2nd-6th grade; Senior Terms, 3rd-8th Grade. Camp Sessions: June 1-July 22",
,,Camp Marannook,,10425 Veterans Memorial Pkwy.,Lafayette,AL,36862,(334) 864.7504,marannook.org,,1st-10th Grade,"May 26-July 17;  Residential and Day Camps.
From sunrise to after sunset, every camp day is packed with fun. Campers will swim, shoot archery, make crafts, eat smores around the campfire, and play games on the game field. They explore a huge maze, ride the cable car and crazy swing and are challenged by various rope and climbing activities. And there is a one-of-a-kind Bible Time with skits and drama. When the campers arrive, the counselors are ready to build relationships and to share the love of Christ through these relationships.",
,,Camp Merri Mac,,1123 Montreat Road,Black Mountain,NC,28711,(828) 669.8766,merri-mac.com,mail@merri-mac.com,"Grades 1st-11th, Girls","June 1-August 6; Length:1 (starter camp for first time campers), 2 & 4 week sessions.",
,,Camp Sea Gull and Camp Seafarer,,218 Sea Gull Landing,Arapahoe,NC,28510,(252) 249.1111 or (252) 249.1212,seagull-seafarer.org,,Ages 6-16,"June 7-August 7; Length: 1, 2, & 4 week session.",
,,Camp Skyline Ranch,,4888 Alabama Hwy 117,Mentone,AL,35984,(800) 448.9279,campskyline.com,info@campskyline.com,"Ages 6-16, Girls",May 31-July 24                                                           Four 2 wk. sessions; Three 1 wk. Sessions.,
,,Camp Stanislaus,,304 South Beach Blvd.,Bay St. Louis,MS,39520,(228) 467.9057,campstanislaus.com,camp@ststan.com,"Ages 8-15, Boys","Dates: June 8-July 17;  Length: 1, 2, 3 and 4 week sessions.",
,,Camp Timberlake,,1123 Montreat Road,Black Mountain,NC,28711,(828) 669.8766,camptimberlake.com,info@camptimberlake.com,"Grades 1st-11th, Boys","June 1-August 6; Length:1 (starter camp for first time campers), 2, 3, 4, & 5 weeks.",
,,Camp Trico,,315 Trico Drive,Guntersville,AL,35967,(800) 734.4541,girlscoutsnca.org,,Ages 6-16,Camp Sessions: July 10-15,
