advertiser,category,business,address,city,state,zip,phone,website,email,ages,description
,"Dance, Gymnastics & Cheer",C.J.'s Dance Factory (home of the Prattville Ballet),145 S. Court St.,Prattville,AL,36067,(334) 467-8603,https://cjsdancefactory.com,,,"Registration on Thursdays in Prattville 5:30-7:00. Instruction in: Classical Ballet/Pointe, Jazz/Lyrical, Tap, PowerTumble Gymnastics and Preschool Dance (ages 18 months to 5 years). Meet your instructor, tour the facility, watch the Nutcracker with refreshments, purchase dancewear, and pick up your costume! All students will participate in Prattville's Nutcracker Ballet, as well as many other performances. Nutcracker community auditions are Thursday, August 28 at 5:30. Ages preschool to professional."
,"Dance, Gymnastics & Cheer",Evolve Dance Company,2072 Fairview Avenue (Pratt's Mill Shopping Center),Prattville,AL,36066,(334) 730-0310,https://evolvestudioforthearts.com,info@efsta.com,,We offer a variety of styles of dance for ages 2 and older. Please check our website for fall class dates.
,"Dance, Gymnastics & Cheer",Lisa's Dance Dimensions,101 Penser Blvd.,Millbrook,AL,36054,(334) 303-7279 or (334) 300-6285,https://lisasdancedimensions.com,lddndg@aol.com,,"Offer Parent/Tot, Ballet, Pointe, Lyrical, Jazz, Tap, and Gymnastics. Class times vary according to age and level. Registration August 7, 12, and 14 from 4:30-6:30. Registration will take place at Gym Location 101 A Penser Blvd., Millbrook."
,"Dance, Gymnastics & Cheer",Mann Dance Studio,422 Pratt St.,Prattville,AL,36054,(334) 365-5154,https://manndancestudio.net,,,"The studio offers and excels in all forms of dance, offering beginner, intermediate, and advanced classes. Registration going on now and classes start in August . Tap, Lyrical/Contemporary, Pointe, Ballet, Gymnastics, Hip Hop, Baton and Jazz. Call for class times and dates."
,"Dance, Gymnastics & Cheer",Next Dimension Gymnastics,"101A Penser Blvd.,",Millbrook,AL,36054,(334) 303-7279 or (334) 300-6285,https://lisasdancedimensions.com,,,"Classes offered: Parent/Tot Tumbling (ages 18mths-3), Tumble Tots (ages3-5), Super Hero Gymnastics (ages 3-5 boys), Junior Olympic Gymnastics (ages 5 and up), Cheer/Jump/Tumble (ages 7 and up). Class times vary according to age and level. Registration August 7, 12, and 14 from 4:30-6:30. Registration will take place at Gym Location 101 A Penser Blvd., Millbrook."
,"Dance, Gymnastics & Cheer",Pike Road Dance Academy,232 West Elizabeth Lane,Pike Road,AL,36013,(334) 782-9200,https://pikeroaddance.com,pikeroaddance@gmail.com,,"Offering 9 levels of dance classes ranging from beginner, intermediate to advanced, and competition style (professional) instruction. These classes were developed for beginners all the way to more serious dancers seeking a progressive curriculum. Please visit our website for more information."
,"Dance, Gymnastics & Cheer",Tammy's Academy of Dance,742 U.S. Hwy 231,Wetumpka,AL,36092,(334) 221-2657,https://tammysacademyofdance.net,info@tammysacademyofdance.net,,"Registration going on now. Ballet, Tap, Jazz, Pointe and Contemporary and Tumbling. Classes for ages 3 through adult."
,"Dance, Gymnastics & Cheer",The Montgomery Ballet,405 Coliseum Blvd.,Montgomery,AL,36109,(334) 721-3687,https://montgomeryballet.org,info@montgomeryballet.org,,"The Montgomery Ballet is the producer of Performance on the Green, Ballet and the Beasts and The Nutcracker. Training provided in Classical Ballet for children and adults of all ages (2 1/2 to adult). Classes for different levels, (divided both by age and skill). As the Official School of The Montgomery Ballet Company, we are committed to developing first class ballet artists through quality training by experienced professional dancers in a healthy, nurturing and disciplined atmosphere. Please call for dates Classes begin in August and the annual School Performance will be held in May. Open enrollment. Classes offered in Classical Ballet, Pointe, Variation, Modern, Tap, Jazz, Musical Theatre, Hip Hop and Contemporary. We also have a Civic Company."
,"Dance, Gymnastics & Cheer",Tutu School,2690G Zelda Road,Montgomery,AL,36106,(334) 363-3360,,,,"Tutu School is a whimsical storybook ballet school for children 18 months to 8 years old offering classes, parties, and camps. Registration is on going. Please call for more information and rates. We offer a free trial class before enrolling."
,Drama Classes & Public Speaking,Alabama Shakespeare Festival: Acting Academy,1 Festival Drive,Montgomery,AL,36117,(334) 271-5324,https://asf.net,glambert@asf.net,,Learn more about the craft of acting at ASF's Acting Academy. Fall Academy classes are open to new and returning students and will feature different content and material from the fall session. Please call or check our website for fall class dates and information.
,Drama Classes & Public Speaking,Wetumpka Depot Players,300 South Main Street,Wetumpka,AL,36092,(334) 868-1440,https://wetumpkadepot.com,kmeanor@wetumpkadepot.com,,Fall Afterschool Sessions and Homeschool sessions available. Please email to be contacted when those programs are finalized.
,Horses,Foxwood Farms,,Pike Road,AL,36064,(334) 546-7622,foxwoodfarms.biz,,,Safe and structured lessons offered from beginning riders to experienced competitors. Lessons are taught on a semester basis. Please visit our website for rates.
,Horses,MANE (Montgomery Area Non-traditional Equestrian),3699 Wallhatchie Road,Montgomery,AL,36064,(334) 213-0909,https://maneweb.org,,,"Applications available online. Successfully teaching independent riding skills to children with cerebral palsy, mental disabilities, autism, hearing impairment and other disabilities. Goals developed individually for clients. We offer camps during the summer and winter months."
,Martial Arts,Family Karate Center,"8159 Vaughn Rd, Peppertree Shopping Center",Montgomery,AL,36117,(334) 277-4911,https://montgomeryfamilykarate.com,,,"Montgomery's Christian Martial Arts. Mon.- Saturday (ages 2 and up): No enrollment fee, no contract. Specialize in ADD, LD, handicapped, mentally challenged, visually impaired, blind, autistic, deaf, overweight children, and children with depression anxiety disorder. Founders of the ""Stranger Danger Child Abduction Prevention Program, ASK MOM FIRST Child Molestation Prevention, and the How to Handle Bullies and Aggressive People Program. Family Karate Center now also offers Japanese Martial Arts Training and Weaponry."
,Martial Arts,Fleming's Martial Arts,5521 Wares Ferry Road,Montgomery,AL,36117,(334) 277-5425,https://flemingsmartialarts.net,,,"Classes for children and adults. A structured, systematic curriculum is offered in a focused and safe training environment."
,Martial Arts,Johnson Karate and Fitness Center,1751 Eastern Blvd.,Montgomery,AL,36116,(334) 284-2344,https://johnsonsmartialartsacademy.com,,,"Classes for ages 3 to Adults. At Johnson's Karate & Fitness Academy we teach Tae Kwon Do, Self-Defense, Private Lessons, Fitness Kickboxing, Pilates, and Sport Karate. We are now offering early morning Kick Boxing classes. We offer free trial lessons. Phil. 4:13."
,Martial Arts,Martial Arts Center,2055 Harmon Street,Montgomery,AL,36107,(334) 318-1892,,,,"Martial Arts combined with discipline and etiquette. Martial Arts is good, clean fun for kids and a great way to give them a head start in life. Our primary focus is to teach children life skills. Because a structure of respect, courtesy and honesty is built into KUK SOOL, children develop the ability to learn, listen and achieve within a highly regulated environment. Ages 6 yrs.-8 yrs. and 9 yrs. – 15 yrs. Call for times and prices."
,Martial Arts,Montgomery Judo Academy,1555 Eastern Blvd,Montgomery,AL,36116,(631) 767-8052,,,,"Your child will reach new heights when they learn judo the gentle way! Gain confidence, build character, and learn respect. Teaching kids, teens and adults. Louis A. Balestrieri, Coach/Sensei"
,Martial Arts,"NextGen Martial Arts, Prattville",698 Old Farm Lane N,Prattville,AL,36066,(334) 590-3759,https://nextgenmartialarts.com,,,"Tang Soo Do, Li'l Dragons (4-6 years) and XMA (Xtreme Martial Arts) offered. Many programs available."
,Martial Arts,Taekwondo Mojo,7919 Vaughn Road,Montgomery,AL,36117,(334) 462-4758,https://taekwondomojo.com,,,We are dedicated to providing a supportive and empowering environment for individuals of all ages to learn and grow through the practice of Taekwondo. Please call or visit our website for more information.
,Martial Arts,Tiger Park Taekwondo & Chung's Taekwondo,3125 Bell Road,Montgomery,AL,36116,(334) 277-2627,https://tigerparktkd.com,,,"Classes for everyone Ages 3 to adult. We now offer an After-school Program. We provide free transportation from your child's school to our facility. Our program is designed to help your child be the best they can be, develop great self confidence, strengthen mental and physical discipline and create an interactive and educational environment."
,Martial Arts,Tiger Rock Martial Arts,2750 Bell Rd.,Montgomery,AL,36117,(334) 244-1465,https://tigerrockmontgomery.com,tigerrockmontgomery@gmail.com,,"Classes offered for children ages 4-5 (Tiger Cubs), ages 6-11 (Junior Program) and 12-15 (Youth Class) and Adults 16 +. Please call us for more information regarding class times and schedules."
,Martial Arts,US Yoshukai Karate,290 N. Burbank Dr.,Montgomery,AL,36117,(334) 657-2032,https://usyka.com,usyka1997@gmail.com,,Visit us on Facebook under US Yoshukai Karate for more details and classes offered. Ages 5 and up.
,Miscellaneous,Caesar Chess,,Montgomery,AL,,(334) 868-0271,,caesarchess@gmail.com,,Teaching kids to play chess in metro Montgomery. ** Public ** Private ** Homeschooled ** Caesar Lawrence – Director & Chess Coach
,Miscellaneous,Michaels,"East Chase Market Center, 7991 Eastchase Pkwy",Montgomery,AL,36117,(334) 260-2846,https://michaels.com,,,"Learn crafting skills when and where you want with online classes from Creativebug, or sign up for in store classes in jewelry making, art painting, paper crafting, mixed media, floral design, cake decorating or knitting and crocheting. Please visit your local Michaels' for class descriptions, times and fees."
,Miscellaneous,Snapology,,Montgomery,AL,,(334) 318-2824,https://snapology.com,riverregion@snapology.com,,"Ages 6-14. Take time off your hands while your kids play, learn, and make life long friends. We offer amazing themes for our camps and workshops year-round including spring break camps and summer camps. Please call or visit our website or on Facebook under Snapology of the River Region. Please call for more information on classes being offered near you."
a,Recreational & Sports,Frazer Upward Basketball,Atlanta Hwy,Montgomery,AL,36117,(334) 495-6459,frazer.church,,,Program available for girls 5 years through 8th grade and boys 5 years through 8th grade. Registration only during the month of October. Practice begins in December. Games begin in January.
a,Recreational & Sports,Frazer Upward Football & Cheerleading,Atlanta Hwy,Montgomery,AL,36117,(334) 495-6459,frazer.church,,,"Registration begins July and runs through August. Program offered Aug.-Oct. for rising 1st- 6th grade. Spiritual development through devotionals, coaching and athletic skills. Registration is open now. Please visit us at www.frazer.church under the family and sports & fitness tabs for registration link."
a,Recreational & Sports,Girl Scouts,2501 Bell Road,Montgomery,AL,36117,(800) 239-6636,https://girlscoutssa.org,,,"Daisies, Brownies and Girl Scouts. Girls discover who they are, where their talents lie, and what they care the most about. And they take action to change the world. Through our program, the Girl Scout Leadership Experience, girls develop a strong sense of self, display positive values, and seek challenges."
a,Recreational & Sports,Montgomery YMCA,,Montgomery,AL,,"(334) 396-9754 or (678) 571-7605 Kershaw Center, W. Fairview Ave. (334) 265.1433 Cleveland Ave., Rosa Parks Ave. (334) 265.0566 Downtown, South Perry Street (334) 269.4362 East Y, Pelzer Avenue (334) 272.3390 Bell Road Y, Bell Road (334) 271.4343 Goodtimes Center, off Bell Road (334) 279.8666 Southeast Y, Carter Hill Road (334) 262.6411 Camp Chandler, Lake Jordan (334) 269.4362 Camp Grandview, Millbrook (334) 290.9622 James Wilson Jr, 1445 Wilson Park Dr., (334) 356.8471",,,,"Offering over 100 different programs for all ages. Including inside and outside youth and adult soccer, football (grades 1-6), basketball (year-round & all ages), track, soccer (ages 6 & up), mini-soccer (ages 4 & 5), aquatic program, cheerleading (grades 1-6), Leaders Club & Tri-Hi-Y (grades 7-12), and much more. Fees vary by activity and membership. Boys and girls can enjoy teamwork, sportsmanship and healthy competition. Contact your local YMCA branch. Cheerleading Cheerleading will build confidence and self esteem while developing social skills and healthy relationships with others. Ages 5-12 (no 7th graders allowed) Season: September-November. Games on Saturdays. Registration going on now until August 4th. Basketball for ages 4-15 Registration begins in September. Youth Tackle Football Season: September-November. Ages 6-12 (No 7th grade players will be allowed.) Games will be on Tuesdays, Thursdays and Saturdays. Registration will be going on until Aug 4th. Late Registration from August 5th-13th. Mini Flag Football Ages: 4-7. Provide players the opportunity to learn the basics of football in a developmental environment. Registration will be going on until Aug 4th. Late Registration from August 5th-13th. Ice Hockey Ages 4-11. Children will learn the fundamentals of ice skating and begin to practice the skills needed to play ice hockey. This program will begin as an instructional program and evolve into a developmental league program. Please call for more information. Fall Outdoor Mini-Soccer for ages 3 & 6 Registration June 14 through August 12. Season begins in August and will end in October. LaCrosse The YMCA Montgomery Capitals will be formed as a competitive youth lacrosse Club. Our philosophy will be to allow all youth participants the opportunity to participate, develop a love for the game and continue to develop their skills and fundamentals. Please call for more information. Soccer Website: www.capitalcitystreaks.org Email: msanchez@capitalcitystreaks.org. Participants can sign up at any local YMCA. Recreational Soccer: Season- September-November and April-May. Ages 6-18. Games Mondays, Tuesdays, Thursdays, Fridays and Saturdays. Registration is open now. Practice begins in August and games begin in September. Indoor Soccer Season December-January, February-March, June-August. Ages 7-17. Games Monday, Tuesdays, Thursday, Friday and Saturday depending on age group. Registration TBA Barracuda's Competitive Swim Team The YMCA has a year-round competitive swim program based at the East YMCA. Contact (334) 272.3390. Tryouts will held in August. Please call for more information. They can also be contacted online at www.ymcamontgomery.org. Indian Guide (Parent-Child Program) The Adventure Guides and Princesses offers activities for children K-3rd grade and their parents. Program that aids in the growth and development of families. Contact Jeff Reynolds at (334) 269.4362 for additional information. Starts in September."
a,Recreational & Sports,Prattville YMCA,"972 McQueen Smith Rd. S, 600 E. Main Street 348 Hwy 82 West",Prattville,AL,36066,(334) 365-8852 or (334) 358-1446,https://prattvilleymca.org,,,"Registration going on now. Main After School Program, Kindergarten After School, Primary After School, Pine Level, and Daniel Pratt. Prepay first week at registration. Vans will pick up kids at public school and take them to the Main Site Program. Main Site cost is $70 for first child for members and $85 for non-members per week. Discounts for second and third children. Family discounts available. Fall sports are as follows: Football, Cheerleading, Baseball, Basketball, Taekwondo, Volleyball, Cheer, tumble, gymnastics and swim lessons available. Please call for fall sports registration dates."
,Recreational & Sports,Alabama Nature Center Fall Homeschool classes,3050 Lanark Road,Millbrook,AL,36054,(334) 285-4550,https://alabamawildlife.org/homeschool-programs,,,"Fall registration for the 8 classes is open on the website. The dates will be August 6 & 7, 21 & 22, September 3 & 4, 17 & 18, October 1& 2, 15 & 16, and November 5 & 6, 19 & 20. $80.00 per child for the 8 class program. There is a $5 per sibling discount for each family. Class days are Wednesdays or Thursdays for the fall. There are 4 time options to choose from; 10:00 a.m. – 12:00 p.m. Wednesday, 1:30 p.m. – 3:30 p.m. Wednesday, 10:00 a.m. – 12:00 p.m. Thursday, or 1:30 – 3:30 p.m. Thursday. There is a 10 student class limit for the Discoverers. (3 – 5 year old class) You may need to register earlier rather than later for the Discoverers class. Each other class will have a 15 student class limit. The number of classes offered each day is subject to the availability of staff here at the nature center. As registrations come in we will adjust our classes. Students will be placed in classes with students who are closest to their ages."
,Recreational & Sports,Boy Scouts,3067 Carter Hill Rd.,Montgomery,AL,36111,(334) 262-2697,https://tukabatcheebsa.org,,,"About 100 Cub Scout packs located in various private and public schools, churches, etc. August/September, city wide Fall Recruitment night for Scouts, parents can enroll their child in a pack that night. Someone will be handing out brochures at all schools in August/September. Homeschoolers are welcome."
,Recreational & Sports,Boys & Girls Clubs of the River Region,412 North Hull Street,Montgomery,AL,36104,(334) 832-4288,https://bgcmala.org,,,"Chisholm, (334) 265.2469, 2612 Lower Wetumpka Rd. West End, (334) 263.3371, 220 Crenshaw Street Wetumpka, (334) 478.4904 499 Alabama Street Provides programs and opportunities, which encourage young people, particularly the disadvantaged, to maximize their potential and become caring productive citizens of our community. Activities include character and leadership development, health and life skills, education and career development, sports, fitness and recreation, and the arts. Clubs are open Mon-Fri from 3-9 p.m. during the school year and 9-5 on school holidays and in the summer. All locations serve children ages 6-18. $5.00 a year per child."
,Recreational & Sports,Churches,,Montgomery,AL,,,https://awana.org,,,Check local churches for programs. AWANA Programs are popular.
,Recreational & Sports,Daycares,,Montgomery,AL,,,,,,Please check with local daycare centers for the option of after school care. Check out Montgomery Parents on the web at www.montgomeryparents.com and use our archived April Child Care Directory to get started.
,Recreational & Sports,"Doster Center, Prattville",101 West Main Street,Prattville,AL,36066,(334) 361-3640,,,,"Various after school activities include Afterschool Recreation Club for grades K-6th. Monday – Friday, 3 p.m. – 6 p.m. (After school transportation provided.), Vacation Club Day (for school holidays when children are out of school but parents are still working) Grades K-6, 7:30 a.m. – 5:30 p.m."
,Recreational & Sports,Montgomery YMCA Goodtimes Center,"2325 Mill Ridge Dr., off Bell Road",Montgomery,AL,36117,(334) 279-8666,https://ymcamontgomery.org,,,"Staffed from 2:30 to 6 p.m. After school programs are at the schools. Programs include snack and juice, homework time, music and language, storytelling time, outside activities, arts and crafts, projects, Science and Nature, multicultural activities, and creative time. Open registration. Also, before school programs at certain schools from 6:45 and 7 a.m. til school starts."
,Recreational & Sports,Therapeutic Recreation Center,604 Augusta Street,Montgomery,AL,36111,(334) 240-4595,https://montgomeryal.gov,,,"For the mentally and physically challenged. Various programs available. Classes run from 4 p.m. – 5 p.m. Monday thru Friday. Transportation is provided for Montgomery public schools. Space is limited, so please register on time. Please call for more information about registrations dates and times."
,Recreational & Sports,Wetumpka YMCA,200 Red Eagle Drive,Wetumpka,AL,36092,(334) 567-8282,https://ymcamontgomery.org,,,"YMCA Goodtimes after hours for school age children (5 to 11 yrs.) pick up and keep them until 6 p.m. Have several programs, including: Summer Camp, Youth Sports, Football, Volleyball, cheerleading, basketball, karate, T-Ball, Swim Team and soccer. Open registration. The following sports are available beginning in the fall: Football for boys' ages 6-12, cheerleading for girls' grades 1-6, Mini-soccer for ages 4-5."
,Skating,2211 Ultimate Playzone,3541 McGehee Road,Montgomery,AL,36111,(334) 593-7180,https://2211ultimateplayzone.com,,,"Skating, Book your birthday parties and Inflatables. Laser Tag! Summer Open Skate - $10 (includes skate and entry) $5 for non-skating parents. Tuesday-Friday from 1-3 p.m., Thursday Night ( Adults Only) from 7p.m.-12a.m., Friday fron 5-9 p.m.; Saturday from 1-7:30p.m., Sunday 2-7 p.m. (discount day, $8 per person). Group Discounts (min of 10 people). Laser Tag: Your kids will love the thrill of taking on their friends in a exciting laser tag battle."
,Skating,Montgomery Skate Park,2390 Cong. W. L. Dickinson Dr.,Montgomery,AL,36109,(334) 240-4561,,,,"We invite all skaters of all ages to come out, hop on their boards and smooth their skills while having some fun. Please visit us on Facebook under Montgomery Skatepark for more information and open date."
,Skating,Skate Zone 2000,88 Red Eagle Pkwy.,Wetumpka,AL,36092,(334) 567-4434,,,,"Birthday Parties, State of the Art Lasertag, Homeschool Days Skating and more."
a,Soccer,FC Montgomery Futsal Soccer,5334 Atlanta Hwy.,Montgomery,AL,36117,(334) 207-5442,https://fcmontgomery.com,brunomr@fcmontgomery.com,,"Outdoor Travel Soccer and Indoor Local Futsal club. A variety of programs offered, including; Soccer Camps, 3v3 Tourneys, Lessons, Soccer Parties, Soccer Tours and Homeschool. Registration is on going. Please check our website for our training and games schedule and team evaluation dates. Coach Bruno (Former pro & College coach – Masters Phy. Ed."
a,Soccer,Frazer Sonshine Soccer,Atlanta Hwy.,Montgomery,AL,36117,(334) 495-6458,frazer.church,,,Held at Frazer Soccer Fields will be held in the Spring. Ages 5-12.
,Soccer,Barber Elite Soccer,,Montgomery,AL,,,https://barberelitesoccer.com,barberelitesoccer@gmail.com,,We are a professional soccer training academy committed to bringing age and skill appropriate training to local kids in the community. We offer classes from 3 years to 12 years. Our goal is to proide professional soccer training that develops soccer skills and a passion for the game.
,Soccer,St. James Upward Soccer,9045 Vaughn Rd.,Montgomery,AL,36117,(334) 277-3037,https://sjlife.com,kari@sjlife.com,,Registration available online. K4 through 4 grade (boys and girls welcome) Registration is going on now.
,Soccer,YMCA Capital City Streaks,300 Brown Springs Road,Montgomery,AL,36117,(334) 218-3750,https://capitalcitystreaks.org,msanchez@capitalcitystreaks.or,,"Participants can sign up at any local YMCA. Season- September-November and April-May. Ages 6-18. Games: Mondays, Tuesdays, Thursdays, Fridays and Saturdays. Registration is open now. Practice begins in August and games begin in September."
,Swimming & Scuba,Adventure Sports Aquatic Center,1546 E. Ann Street,Montgomery,AL,36107,(334) 269-3483,https://adventuresports2.com,,,"Heated indoor pool year round. Swimming Lessons, Scuba and Life Guard Classes."
,Swimming & Scuba,Swim Prep,,Prattville & Montgomery,AL,,(334) 356-6116,https://swimprepllc.com,rebecca@swimprepllc.com,,Private One-o-one swim lessons starting at 6 months. Maintenance and group classes offered after student has graduated our program. Please visit our website for more information and to register.
,Swimming & Scuba,YMCA Barracuda's Competitive Swim Team,3407 Pelzer Avenue,Montgomery,AL,36109,(334) 272-3390,https://ymcamontgomery.org,rklages@ymcamontgomery.org,,The YMCA has a year-round competitive swim program based at the East YMCA. Please call (334) 272.3390. Tryouts will be held in August. Please call for more information.
a,Tennis,O'Connor Tennis Center,500 Anderson Street,Montgomery,AL,36107,(334) 240-4884,https://oconnortenniscenter.com,bbradshaw10s@gmail.com,,After-school Tennis Clinics offered during the school year for all ages. We follor the MPS school schedule.
,Tennis,Hampstead Tennis,Hampstead,Montgomery,AL,36116,(334) 207-9821,,hampsteadtennis@att.net,,"Tennis lessons open to both residents and visitors interested in enjoying the fun of tennis. Players welcomed from beginner to advanced level play of ages, and offer weekly organized private lessons"
,Tennis,Wynlakes Tennis,7900 Wynlakes Blvd.,Montgomery,AL,36117,(334) 273-8425,https://wynlakes.com,dleal@mindspring.com,,"The Wynlakes Junior Tennis Program offers classes for students 4 years and older. Beginning with ""Pee Wee Tennis"" the players graduate to ""Rising Stars"" and move to ""Excellence"" and finally to the ""Wynlakes Junior Tour"" where players receive state ranking. Tennis at Wynlakes is a sport for everyone and is the sport of a lifetime. Please call for class times and days."
a,Tutoring,Mathnasium,3453 Malcolm Drive,Montgomery,AL,36116,(334) 521-8327,https://mathnasium.com/eastmontgomery,eastmontgomery@mathnasium.com,,"We specialize in teaching kids math the way that makes sense to them. We provide: Expert tutors, Custom learning plans and personalized instruction, and Homework help."
,Tutoring,Better Than Average,"2820 Fairlane Dr., Suite A3",Montgomery,AL,36116,(334) 802-1315,betterthanaverage.online,,,Building Confidence. Creating individuals who love learning. Our peer tutors aim to build relationships with our students to make learning more engaging and relatable. We strive to show our students their potential and to strengthen confidence in their capabilities by celebrating their acheivements. In-person and virtual.
,Tutoring,Ed Tech Academy,"2101 Eastern Blvd, Suite 420",Montgomery,AL,36116,(334) 296-2393,https://edtechacademy.org,info@edtechacademy.org,,"Do you want to see an improvement in your child's academics? Offering STEM and technology daytime and afternoon programs. Tutoring, adult classes, parent's night out, Saturday workshops and more. Homeschoolers welcome. Discounts for multiple children, military and state employees."
