advertiser,category,business,address,city,state,zip,phone,website,email,description
,Fitness Gym/Recreation Center,Club Pilates,8143 Vaughn Road,Montgomery,AL,36116,(334) 603-8055,,eastmontgomery@clubpilates.com,CP Teen - good class for athletic or inactive teenagers.
,Fitness Gym/Recreation Center,Gunter Pool - Montgomery Parks & Recreation,2390 Congress W L Dickinson Drive,Montgomery,AL,36109,(334) 625-2300,https://funinmontgomery.com,,Open during summer season.
,Fitness Gym/Recreation Center,Montgomery YMCA,Various Locations,Montgomery,AL,,(334) 271-4343,https://ymcamontgomery.org,,"Youth sports, Teen programs, Swimming and Fitness classes. Each location will offer unique classes to them. Please call individual locations for more information."
,Fitness Gym/Recreation Center,Rebar Performance,8200 Emma Court,Pike Road,AL,36064,(334) 373-2271,,,Cross Fit Kids is a method for teaching Cross Fit to children ages 7-14.
,Fitness Gym/Recreation Center,Wetumpka YMCA,200 Red Eagle Drive,Wetumpka,AL,36092,(334) 567-8282,https://ymcamontgomery.org,,Aquatics and Youth Sports. Please call for more programs available.
,Holistic Health,Fountain City Health Foods,"101 South Memorial Drive, #3621",Prattville,AL,36067,(334) 361-7550,https://fountaincityhealthfoods.com,fountaincity1@knology.net,"Grocery and herbal remedy store. We offer vitamins, supplements, essential oils and more."
,Holistic Health,Fresh Market,1635 Perry Hill Road,Montgomery,AL,36106,(334) 272-8952,https://thefreshmarket.com,,Organic foods and healthy snacks.
,Holistic Health,Healthwise,5147 Atlanta Hwy.,Montgomery,AL,36109,(334) 277-9925,https://healthwisefoods.com,,"Functional foods, Organic Groceries, Children's Health and Adolescent Health."
,Holistic Health,Herb Shop Wellness Center,8161 Vaughn Road,Montgomery,AL,36116,(334) 271-2882,https://herbshopal.com,,"Helping kids be healthier and smarter through specific testing. Vitamins & Supplements, Food Allergy Testing, Nutritional Genetical Testing to maximize your health & Natural Skin Care for Eczema and Psoriasis."
,Holistic Health,Luxury Holistic Health,,Montgomery,AL,,(334) 310-1589,https://luxuryholistichealth.com,jalissa@luxuryholistichealth.com,"Holistic Lab review, Food sensitivity testing, Nutritional Deficiency Testing, Yoga and Stretch Sessions, Holistic Mind & Body Programs, Ask a Nurse Subscription."
,Holistic Health,Vitamin Shoppe,7345 Eastchase Pkwy.,Montgomery,AL,36117,(334) 279-4061,https://vitaminshoppe.com,,"Vitamins & Supplements, Herbs & Natural Remedies and Natural Beauty & Skin."
,Parent Support,Alabama Department of Public Health,201 Monroe Street,Montgomery,AL,36116,(888) 737-5437,https://adph.org,,"All Kids Children Health Insurance Program: A low-cost, comprehensive healthcare coverage program for children under age 19. Benefits include regular checkups and immunizations, sick child doctor visits, prescriptions, vision and dental care, hospitalization, mental health and substance abuse services and more. Women, Infants and Children (WIC): supplemental nutrition program for pregnant women, breastfeeding women, women who had a baby within the last 6 months, infants and children under the age of five."
,Parent Support,The Parent Assist Line (PALS),,Montgomery,AL,,(800) 962-3030,https://al.ua.edu,,"A collaborative service of the University of Alabama Child Development Resources and the Alabama Children's Trust Fund. Call and a parenting resource specialist will answer, listen to you, then offer helpful and supportive information."
,Parks/Trails/Natural Areas,Thompson Park,1655 Ray Thorington Rd,Pike Road,AL,36064,(334) 625-2300,https://funinmontgomery.com,,Playgrounds and batting cages
,Parks/Trails/Natural Areas,Alabama Nature Trails,3050 Lanark Road,Millbrook,AL,36054,(334) 285-4550,https://alabamabirdtrails.com,,"The Alabama Nature Center at Lanark offers 350 acres of forests, fields, streams, wetlands and ponds and offer five miles of boardwalks and trails in three regions: Still Creek Run, Turkey Ridge, and Hilltop Pass from easy to moderate."
,Parks/Trails/Natural Areas,Audubon,3174 Cloverdale Rd,Montgomery,AL,36106,(334) 625-2300,https://funinmontgomery.com,,"Located in the Cloverdale neighborhood, Audubon Park is a 1 acre open, grassy area perfect for frisbee, picnics, or walking the dog."
,Parks/Trails/Natural Areas,AUM/Ron Nunn Montgomery,250 Brown Springs Rd.,Montgomery,AL,36117,(334) 625-2300,https://funinmontgomery.com,,Batting cages and a playground
,Parks/Trails/Natural Areas,Autauga Creek Canoe Trail,Behind City Hall,Prattville,AL,36067,,Facebook: Autauga Creek Canoe Trail,,"Historic creek in downtown Prattville. Offers a 13 mile spring fed trail great for kayaking, canoeing or floating down."
,Parks/Trails/Natural Areas,Blount Cultural Park,3 Festival Dr.,Montgomery,AL,36117,(334) 625-2300,https://funinmontgomery.com,,Open play area and miles of walking trails.
,Parks/Trails/Natural Areas,Buddy Watson,1801 Taylor Rd,Montgomery,AL,36117,(334) 625-2300,https://funinmontgomery.com,,"Batting cages, walking trail and playground"
,Parks/Trails/Natural Areas,Cloverdale Park,2415 W Cloverdale Park,Montgomery,AL,36106,(334) 625-2300,https://funinmontgomery.com,,Playground and open green space
,Parks/Trails/Natural Areas,Cloverdale Road Park,3124 Cloverdale Rd,Montgomery,AL,36106,(334) 625-2300,https://funinmontgomery.com,,Open green space and walking trail
,Parks/Trails/Natural Areas,Coosa River Adventures,415 Company Street,Wetumpka,AL,36092,(334) 514-0279,https://coosariveradventures.com,,Paddle along the Coosa River for fun. We offer rentals of all types for your adventure.
,Parks/Trails/Natural Areas,Dannelly,3415 Carter Hill Rd,Montgomery,AL,36111,(334) 625-2300,https://funinmontgomery.com,,"Batting cages, open play space and playground"
,Parks/Trails/Natural Areas,Ida Belle Young Park,5400 Vaughn Rd,Montgomery,AL,36116,(334) 625-2300,https://funinmontgomery.com,,"Playground, tennis courts and walking trail"
,Parks/Trails/Natural Areas,Kiwanis Park,400 N Hull St,Montgomery,AL,36104,(334) 625-2300,https://funinmontgomery.com,,Large playground and open green space.
,Parks/Trails/Natural Areas,Lagoon Park,2855 Lagoon Park Dr.,Montgomery,AL,36109,(334) 625-2300,https://funinmontgomery.com,,"5 miles of biking and walking trails, playgrounds, batting cages and tennis courts"
,Parks/Trails/Natural Areas,Memorial Center Park,3168 Park Circle,Millbrook,AL,36054,(334) 285-7227,https://cityofmillbrook.org,,"Walking trails, creek and Kids Kingdom playground"
,Parks/Trails/Natural Areas,Oak Park,1010 Forest Ave,Montgomery,AL,36106,(334) 625-2300,https://funinmontgomery.com,,Multiple walking trails and horseshoes
,Parks/Trails/Natural Areas,Pratt Park,460 Doster Road,Prattville,AL,36067,(334) 595-0800,https://prattvilleal.gov,,"Walking trails, ""A Child's Place"" Playground, Splash pad and community pool."
,Parks/Trails/Natural Areas,Riverfront Park,335 Coosa St,Montgomery,AL,36104,(334) 625-2300,https://funinmontgomery.com,,"Splash Pad,"
,Parks/Trails/Natural Areas,Swayback Bike Trail,Jordan Dam Road,Wetumpka,AL,,(334) 567-9090,https://trailoflegends.org,,On the shores of Lake Jordan and offers 12 miles of biking/hiking.
,Parks/Trails/Natural Areas,Vaughn Road Park,3620 Vaughn Rd,Montgomery,AL,36106,(334) 625-2300,https://funinmontgomery.com,,"Boundless playgrounds, tennis courts, walking trails, large open play space and walking trails."
a,Pediatric Dentist & Orthodontics,Chapman Orthodontics,"1550 East Trinity Blvd., Montgomery and 556 McQueen Smith Road, Prattville",Montgomery,AL,36106,(334) 272-9447,https://chapmanortho.com,,Dr. Lewis Chapman and Dr. Will Chapman
a,Pediatric Dentist & Orthodontics,Dentistry for Children,"7047 Halcyon Summit Drive, Montgomery and 68 Village Loop, Wetumpka",Montgomery,AL,36117,(334) 277-6830,https://chew-chewtrain.com,,Dr. Julia Schreiber and Dr. LaKeisha Thomas
a,Pediatric Dentist & Orthodontics,Just for Grins Orthodontics,"7051 Halcyon Summit, Montgomery; 68 Village Loop, Wetumpka; and 207 Ashton Plaza, Millbrook",Montgomery,AL,36117,(334) 270-1044,https://justforgrinsortho.com,,Dr. Dunn & Dr. Schreiber. We have locations in Millbrook and Wetumpka.
a,Pediatric Dentist & Orthodontics,Kingry Orthodontics,8101 Seaton Place,Montgomery,AL,36116,(334) 272-4900,https://kingryorthodontics.com,,Dr. Mark Kingry. Second location in Pike Road.
,Pediatric Dentist & Orthodontics,Bush Pediatric Dentistry,1641 Winsor Hill Court,Montgomery,AL,36106,(334) 676-2144,https://bushpediatricdentistry.com,,Dr. Samuel Bush
,Pediatric Dentist & Orthodontics,Dentists 4 Children,7015 Halcyon Park Dr.,Montgomery,AL,36117,(334) 284-1100,https://dentists4children.com,,Dr. Heather Thornton
,Pediatric Dentist & Orthodontics,Montgomery Pediatric Dentistry & Orthodontics,"2600 Bell Road, Montgomery; 460 McQueen Smith Road, Prattville; 9547 Vaughn Road, Pike Road",Montgomery,AL,36117,"(334) 845. 8477Montgomery; (334) 355.2429, Prattville; (334) 675.9777, Pike Road",https://smilesfromus.com,,Dr. John; Dr. David; Dr. Rob; Dr. R. Davis; Dr. Frank and Dr. Drew
,Pediatric Dentist & Orthodontics,Pike Road Dental,31 Bridge Street,Pike Road,AL,36064,(334) 819-7377,https://pikeroaddental.com,smile@pikeroaddental.com,Dr. Victoria Wells
,Pediatric Dentist & Orthodontics,Smart Smiles,315 Ray Thorington Rd,Montgomery,AL,36117,(334) 271-2345,https://smartsmiles.com,,Dr. Foch Smart
,Pediatric Dentist & Orthodontics,Toothbuds at Lagoon Park,553 N. Eastern Blvd.,Montgomery,AL,36117,(334) 801-9800,https://toothbudsatlagoonpark.com,,Dr. Allie
,Pediatric Dentist & Orthodontics,TW Orthodontics,4635 Woodmere Blvd.,Montgomery,AL,36117,(334) 260-8166,https://twortho.com,,"Dr. Nick Turner, Dr. Brett Wood and Dr. Jeremy Scarpate"
a,Pediatrics,Partners in Pediatrics,"8160 Seaton Place, 136 E. Main Street",Montgomery,AL,36117,(334) 272-1799,https://www.mykidsdr.com,,"Catherine Woods, M.D., Susan Brannon, M.D., Lamenda Blakeney, M.D., Elizabeth Diebel, M.D., Rama Mukkamala, M.D., Melissa S. McNally, M.D., Dr. Danielle Speight, M.D., Dr. True Hooper, Katherine Schull, M.D., Carol Anna Troy, M.D., Dr. Adam Scott, M.D. and Catherine Presley Rutland, CPNP"
,Pediatrics,Alexander Pediatrics,330 St. Lukes Drive,Montgomery,AL,36117,(334) 270-8864,https://alexanderpediatrics.com,,Dr. Jenny Alexander
,Pediatrics,All About Kids,2895 Zelda Rd.,Montgomery,AL,36106,(334) 277-5431,https://www.zeldapeds.com,,"Dr. Nicole Sheffield, M.D."
,Pediatrics,East Montgomery Pediatrics,337 St. Lukes Drive,Montgomery,AL,36117,(334) 356-1411,,,Dr. Elmer Roque.
,Pediatrics,Montgomery Pediatric Associates PA,"420 Cotton Gin Road, Montgomery; 645 McQueen Smith Rd. N",Montgomery,AL,36117,"(334) 260.9129, Montgomery and (334) 361.7811, Prattville",https://www.montg-pvillepediatric.com,,"Danica Taylor, CRNP, Jamie Mathis, CRNP, Melissa Johnson, CRNP, Dr. Allen Newton, MD, Dr. John Sumners, M.D., Dr. James Rabon, M.D."
,Pediatrics,Pediatric Healthcare,4700 Woodmere Blvd.,Montgomery,AL,36106,(334) 273-9700,https://www.pedhealthcare.com,,"Den Trumbull, M.D., David Perry, M.D., and Rahcell Ann Burkett, M.D., and Madeline Hitt, MSN CPNP-AC"
,Pediatrics,Physician's to Children,"470 Taylor Rd., Suite 210",Montgomery,AL,36117,(334) 293-5033,https://www.childrensal.org,,"Dr. Kendra Gillis Colvin, MD, Dr. Cheryl Gardner Fekete, MD, Dr. Alicia Hughes, MD, Dr. Dina Winston, MD, Dr. Olivia C Garcia, MD, Dr. Karen Doles, MD and Dr. Marissa Hoy, MD,"
,Pediatrics/Wetumpka,Carlile Pediatrics,78 Cambridge Court,Wetumpka,AL,36093,(334) 567-6915,https://www.carlilepediatrics.com,,"Dr. Carlile and Jennifer Johnson, CRNP"
,Pediatrics/Wetumpka,Wetumpka Pediatric Clinic,815 Jackson Trace Rd.,Wetumpka,AL,36092,(334) 567-2882,https://ivycreekhealth.com/primary-care/wetumpka-pediatrics,,"Dr. Jim Carlile, Dr. Anne Young, Callie Best, CRNP, Kasey Emmons, CRNP, Kathleen Calhoun, CRNP, Jennifer Johnson, CRNP and Jamie Mathis, CRNP"
a,Recreation,O' Connor Tennis Center,500 Anderson Street,Montgomery,AL,36107,(334) 240-4884,https://oconnortenniscenter.com,,O'Connor Tennis Center features a 12 court facility + two 36' courts for children. Ben Bradshaw is a certified USPTA Elite professional who teaches private lessons. Multiple tennis lessons and clinics available. Please visit our website for more information.
,Recreation,Alabama Nature Center,3050 Lanark Road,Millbrook,AL,36054,(334) 285-4550,https://alabamawildlife.org,,"Outdoor facility that offers nature walks, educational programs, Day Camps, Homeschool programs and seasonal programs. Outdoor classroom, Pavilion and fishing available."
,Recreation,Coosa River Adventures,415 Company Street,Wetumpka,AL,36092,(334) 514-0279,https://coosariveradventures.com,,Paddle along the Coosa River for fun. We offer rentals of all types for your adventure.
,Recreation,Lagoon Park & Golf,2855 Lagoon Park Drive,Montgomery,AL,36109,(334) 240-4050,https://playmontgomerygolf.com,,"Gorgeous 18-hold public golf course. Amenities include: lighted driving range, chipping and putting area and private lessons."
,Recreation,Swayback Bike Trail,Jordan Dam Road,Wetumpka,AL,36092,(334) 567-9090,https://trailoflegends.org,,On the shores of Lake Jordan and offers 12 miles of biking/hiking.
a,Swim Lessons,Adventure Sports II,1546 E Ann St,Montgomery,AL,36107,(334) 269-3483,https://advsports2.com,,Scuba training and swim lessons.
a,Swim Lessons,Prattville YMCA,Various Locations,Prattville,AL,36067,(334) 361-0268,https://prattvilleymca.org,,Swimming classes. Each location will offer unique classes to them. Please call individual locations for more information.
,Swim Lessons,Goldfish Swim School,2460 Berryhill Road,Montgomery,AL,36117,(334) 373-1690,https://goldfishswimschool.com,,Swimming lessons. Please call or visit our website for more information.
,Swim Lessons,Montgomery YMCA,Various Locations,Montgomery,AL,,(334) 271-4343,https://ymcamontgomery.org,,Swimming classes. Each location will offer unique classes to them. Please call individual locations for more information.
,Swim Lessons,Wetumpka YMCA,200 Red Eagle Drive,Wetumpka,AL,36092,(334) 567-8282,https://ymcamontgomery.org,,Aquatics . Please call for more programs available.
