advertiser,category,business,address,city,state,zip,phone,website,email,description
,Allergies & Asthma,Autism Society of America,"6110 Executive Boulevard, Suite 305",Rockville,MD,20852,(800) 328-8476,https://autism-society.org,,"Provides services in the areas of advocacy, education, awareness and research."
,Allergies & Asthma,Autism Speaks,"900 Circle 75 Parkway, Suite 445",Atlanta,GA,30339,(770) 451-0570,https://autismspeaks.org,,Autism Speaks is dedicated to promoting solutions across the spectrum and throughout the life span. We aim to increase knowledge and acceptance for those with Autism.
,Allergies & Asthma,TACA (Talk About Curing Autism),,,,,(855) 726-7810,https://www.tacanow.org,,TACA is a not-for-profit foundation of families helping families affected by autism. TACA Alabama Chapter meets in Birmingham/Huntsville/Tuscaloosa area. TACA aims to speed up the cycle from the autism diagnosis to effective treatments.
,Allergies & Asthma,The Food Allergy & Anaphylaxis Network,"7901 Jones Branch Drive, Suite 240",McLean,VA,22102,(800) 929-4040,https://foodallergy.org,,"Food Allergy Research and Education works on behalf of the 15 million Americans with food allergies, including all those at risk for life-threatening anaphylaxis."
,Camps/Activities,Camp Frog,5278 Camp ASCCA Road,Jackson's Gap,AL,36861,(877) 428-8476,https://autism-alabama.org,,"ASA hosts 35+ families at the annual September Family Camp ASCCA, Camp FROG. Children on the autism spectrum enjoy traditional camp activities in a supportive environment with their families. Scholarships available."
,Camps/Activities,Camp Mash,P.O. Box 850548,Mobile,AL,36685,(251) 599-5688,https://campmash.org,,Camp M.A.S.H. is a weeklong recreational program for children ages 7 to 17 with a form of juvenile arthritis or a related autoimmune disease. Camp M.A.S.H. is offered at NO COST to our families.
,Camps/Activities,Camp Seale Harris,500 Chase Park S. #104,Birmingham,AL,35244,(205) 402-0415,https://campsealeharris.org,,"Camp Seals Harris offers a medically supervised, fun camp experience and family connection to year round support that helps kids fight diabetes."
,Camps/Activities,Camp Smile-a-Mile-Alabama's Program for Children with Cancer,1600 2nd Ave. S,Birmingham,AL,36801,(205) 323-8427 or (334) 500-7920,https://campsam.org,,"Camp Smile-A-Mile's mission is to provide year round challenging, unforgettable recreational and educational experiences for young cancer patients, their families as well as young adult survivors from Alabama at not cost to the families."
,Camps/Activities,Easter Seals Camp ASSCA,5278 Camp ASCCA Road,Jackson's Gap,AL,36861,(256) 825-9226,https://campascca.org,,Alabama's Special Camp for Children and Adults. ASCCA is a nationally recognized leader in therapeutic recreation for children and adults with both physical and mental disabilities. Providing weekend and week long sessions- open year-round.
,Camps/Activities,Lakeshore Foundation,4000 Ridgeway Dr.,Birmingham,AL,35209,(205) 313-7400,https://lakeshore.org,,"Offers a wide range of fitness, recreation, athletic and education programs to children and adults who experience diagnostic conditions including spinal cord injuries, cerebral palsy, multiple sclerosis, stroke, amputation, and visual impairment."
,Cerebral Palsy,4 My Child,"41850 West Eleven Mile Road, Ste.121",Novi,MI,48375,(800) 692-4453,https://cerebralpalsy.org,,Provides provide all families of children of special needs with Help and Hope For Life.
,Cerebral Palsy,United Cerebral Palsy,2739 Office Park Circle,Montgomery,AL,36116,(334) 271-2280,https://ucpcentralalabama.org,,"As a childcare training program funded by D.H.R. , CCEP provides training sessions and classroom activity demonstrations/ observations free of charge to both licensed & exempt preschool/daycare centers & family day care providers in our five county area."
,Down Syndrome,Down Syndrome Alabama,"3000 Riverchase Galleria, Suite 1500",Hoover,AL,35244,(205) 988-0810,https://downsyndromealabama.org,,"Promote awareness and acceptance, and advocacy for individuals. Offers education and support for individuals."
,Down Syndrome,"F.R.I.E.N.D.S. (Families Reaching, Influencing, Educating, and Networking for Down Syndrome)",P.O. Box 9551,Dothan,AL,36304,(334) 790-8292,https://downsyndromefriends.org,,"Local organization for families, friends and advocates who love an individual with Down Syndrome."
,Down Syndrome,Montgomery Area Down Syndrome Outreach Group,P.O. Box 230471,Montgomery,AL,,,Facebook: Montgomery Area Down Syndrome Outreach Group,,"Provides family support, education, links and social opportunities."
,Dyslexia,Alabama Branch of the International Dyslexia Association,1716 Triple H Ranch Road,Bessemer,AL,35022,(256) 658-7936,https://idaalabama.org,,"We are here to help improve the lives of individuals with dyslexia through education, legislation and services."
,Dyslexia,Montgomery Scottish Rite Learning Center,565 Eastern Blvd.,Montgomery,AL,36117,(334) 277-8109,https://scottishrite.org,,Testing for children up to 9th grade with dyslexia.
a,Early Intervention,Easter Seals of Central Alabama,2185 Normandie Drive,Montgomery,AL,36111,(334) 288-0240,https://eastersealsca.org,,"Our goal is to provide quality life enhancing programs and services to meet the individual needs of our consumers. ESCA offers the following programs: Food School, Pediatric Occupational Therapy, Ready Readers Dyslexia & Testing Therapy, Autism Spectrum Disorder Diagnostic Clinic, ASL Interpreting Program, CARE Project, Certified Nurse Aide, Speech Therapy and Employment."
,Early Intervention,Alabama Institute for the Deaf & Blind,205 South Street,Talladega,AL,35160,(256) 761-3200,https://aidb.org,,"AIDB is the most comprehensive education, rehabilitation and service system serving children and adults who are deaf, blind and multi-disabled. Children ages 3 to 21 are served through the Alabama School for the Deaf, the Alabama School for the Blind and the Helen Keller School of Alabama."
,Early Intervention,Alabama School for the Blind,705 South Street East,Talladega,AL,35160,(256) 761-3260,https://aidb.org,,"Alabama School for the Blind provides visually impaired students a comprehensive education that develops each student's maximum potential to become an independent, productive member of society."
,Early Intervention,Alabama School for the Deaf,205 South Street,Talladega,AL,35160,(256) 761-3215,https://aidb.org,,"Alabama School for the Deaf provides quality individualized educational programs, unique experiences, and fully accessible services for students who are deaf and hard of hearing that empower them to be functioning, productive and responsible members of society."
,Early Intervention,Alabama's Early Intervention System,602 South Lawrence Street,Montgomery,AL,36104,(800) 543-3098,https://rehab.alabama.gov/individuals-and-families/early-intervention,,"Provides supports and services for infants and toddlers (0 to 36 months of age) who have a medical diagnosis that can delay normal development or who have a developmental delay causing the child to not meet developmental milestones. Early intervention supports and services focus on teaching the parents and other caregivers ways to help the child learn and participate in everyday activities. AEIS also prepares infants and toddlers with disabilities and developmental delays for transition to the Alabama State Department of Education's and local school systems' preschool program for 3- to 5-year-olds by providing specialized instruction; physical, occupational, and speech-language therapies; service coordination; and parent and family education."
,Early Intervention,Child Find,,,,,(800) 441-7607,https://alabamapublichealth.gov,,Child Find is the process used in Alabama for identifying all children who may be eligible for services and referring them to Alabama's Early Intervention System.
,Early Intervention,E.I.E.I.O Autauga/Western Elmore Arc,298 Jay St.,Prattville,AL,36066,(334) 365-4054,https://awearc.org,,"We offer free and voluntary family-focused resources, supports and services for eligible infants and toddlers, birth to three years, who have developmental delays. Serving Autauga, Chilton, Elmore and Montgomery counties."
,Early Intervention,Early Intervention Family Alliance- (APEC)/Parent Training and Information Center,10520 US Highway 231,Wetumpka,AL,36092,(334) 567-2252 or (866) 532-7660,https://alabamaparentcenter.com,,Formed to provide parents with training and information to help them become meaningful participants in their children's education.
,Early Intervention,Helen Keller School of Alabama,1101 Fort Lashley Avenue,Talladega,AL,35160,(256) 761-3377,https://aidb.org,,"The mission of Helen Keller School is to provide a functional-based instruction to sensory-impaired students with multiple disabilities and/or deaf-blindness using an individual approach to living and work skill development. This approach emphasizes strong linkages with families through cooperative educational planning, case management, and transition services."
,Early Intervention,Help Me Grow (HMG) Alabama,2595 Bell Road,Montgomery,AL,36117,(833) 939-0336,https://helpmegrowalabama.org,,Help Me Grow Alabama is a parent information line designed to connect families to information about child development and community resources. Parents or providers can dial 2-1-1
,Early Intervention,Montgomery Children's Specialty Center,2853 Forbes Drive,Montgomery,AL,36110,(334) 261-3445,https://montgomerybytutera.com,,"We are Montgomery's preferred children's nursing and rehabilitation facility. In our caring and nurturing environment, we provide services to children with severe developmental disabilities that require on-going nursing care. Our dedicated team of health care professionals understands that each family has an individual set of circumstances, needs and preferences. At Montgomery Children's we are inspired by you to work together creating a plan of care that promotes a nurturing environment of respect, growth and healing."
,Early Intervention,The Children's Center of Montgomery,310 North Madison Terrace,Montgomery,AL,36107,(334) 262-4850,https://childrenscenterofmontgomery.com,,Montgomery Public School for Special Needs. Offer services for cognitive delayed or multi-handicapped.
,Epilepsy,Epilepsy Foundation of Alabama,"3540 Crain Hwy., Ste.675",Bowie,Maryland,20716,(800) 332-1000,https://epilepsy.com,,Mission is to educate and support individuals with epilepsy and their families. Provide services and programs; educating and increasing awareness about epilepsy; providing leadership in advocacy for epilepsy issues
,Financial Resources,Alabama ABLE Savings Plan,100 North Union Street,Montgomery,Alabama,36104,(334) 242-7515,https://alabamaable.gov,,Enable Savings Plan Alabama provides tax-free savings accounts for eligible individuals with disabilities. Keep your disability benefits and save for your future. Please visit our website for more information.
,Financial Resources,Alabama Family Trust,"2820 Columbiana Road, Ste. 103",Birmingham,AL,35244,(205) 313-3915,https://alabamafamilytrust.com,,A nonprofit special needs trust that holds and administers money for the disabled so they are able to become eligible and maintain government benefits for which they would otherwise be financially ineligible.
,General Resources,Accessing Potential through Assistive Technology,236 Godwin Crest Drive,Homewood,AL,35209,(205) 290-4400,https://AL.AT4ALL.com,,"Accessing Potential through Assistive Technology, a program of the Alabama Department of Rehabilitation Services, is a key resource in Alabama for individuals seeking assistive technology support and information. APTAT offers hands-on opportunities to explore AT, along with training, technical assistance and advocacy to expand AT access statewide."
,General Resources,Alabama Alliance for the Mentally Ill,1401 I-85 Parkway Suite A,Montgomery,AL,36124,(334) 396-4797,https://namialabama.org,,"Our mission is to provide support, education, and advocacy for persons with mental illnesses, their families, and others whose lives are affected by these brain disorders."
,General Resources,Alabama Department of Rehabilitation Services,602 S. Lawrence Street,Montgomery,AL,36104,(334) 293-7500 or (800) 441.7607 (Montgomery office); (800) 205.9986 (Alabama's Toll Free Hotline for ADA Information),rehab.state.al.us/ada,,"The Alabama Department of Rehabilitation Services is the state's leading agency dedicated to supporting Alabamians with disabilities, from birth through every stage of life. With a comprehensive ""continuum of care"" approach, ADRS ensures individuals and families receive the support they need, when they need it. Through a network of 25 community offices, ADRS delivers services across all 67 counties via four core programs: * Alabama's Early Intervention System: Serving children birth to age 3 with developmental delays, helping them thrive during critical early years. * Chilren's Rehabilitation Service: Supporting Children and youth (birth to 21) with special health care needs, as well as adults with hemophilia. * Vocational Rehabilitation Service: Providing education, training and employment assistance to individuals with disabilities, including specialized services for those who are blind or deaf. * State of Alabama Independent Living/Homebound Service: Offering essential in-home support to individuals with the most significant disabilities, empowering them to live independently. ADRS is here to help all Alabamians with disabilities reach their maximum potential."
,General Resources,Alabama Early Intervention System and Department of Rehabilitation Services,602 South Lawrence Street,Montgomery,AL,36104,(334) 293-7500,https://rehab.alabama.gov,,"The Alabama Early Intervention System, a division of the Alabama Department of Rehabilitation Services, provides support and services infants and toddlers under age 3 who have developmental delays or medical conditions that may affect their growth and learning. Early Intervention focuses on coaching parents and caregivers to help their child develop skills through everyday activities and routines."
,General Resources,Alabama Office on Disability,602 South Lawrence Street,Montgomery,AL,36104,(888) 879-3582,https://rehab.alabama.gov,,"The Alabama Office on Disability, a division of the Alabama Department of Rehabilitation Services, serves as a statewide resource hub for disability-related information, services and advocacy. AOD promotes the rights and value of individuals with disabilities in all aspects of life including education, employment, housing, transportation, healthcare and recreation. AOD also works to strengthen communication between individuals with disabilities, their families and service providers to improve access to resources across the state."
,General Resources,Alabama Parent Education Center (APEC),10520 US Highway 231,Wetumpka,AL,36092,(334) 567-2252,https://alabamaparentcenter.com,,"A non-profit 501c3, organized in 2002 by Alabama parents, educators, and professionals serving families. APEC provides services and supports to assist families particularly those underserved including minority, low-income, and those with children with disabilities. APEC provides parents with training, information, and support to help them become meaningful participants in their children's education and lives."
,General Resources,Alabama PTA,470 S. Union St.,Montgomery,AL,36104,(334) 834-2501,https://alabamapta.org,,Our mission is to make every child's potential a reality by engaging and empowering families and communities to advocate for all children.
,General Resources,American Foundation for the Blind,"1101 Wilson Blvd, 6th Floor",Arlington,VA,22209,(212) 502-7600,https://afb.org,,"AFB advocates for policies that promote accessibility, equality, and opportunity. We speak up for children who are blind or visually impaired, to make sure every student has an equal opportunity to succeed."
,General Resources,American Speech-Language-Hearing Association,,,,,(800) 638-8255,https://asha.org/public,,"Committed to ensuring that all people with speech, language, and hearing disorders receive services to help them communicate effectively."
,General Resources,Arc of Alabama,557 South Lawrence Street,Montgomery,AL,36104,(334) 262-7688,https://thearcofal.org,,Advocates for people with disabilities.
,General Resources,Baptist Health Care,"Medical Office Building, inside Baptist Medical Center East, 400 Taylor Rd.",Montgomery,AL,36117,(334) 244-8345,https://baptistfirst.org/services,,"The Comprehensive Therapy Center at Baptist Medical Center East is the only facility offering families and the communities of central Alabama comprehensive rehabilitation services. Individualized treatment is provided by experienced and licensed occupational, physical and speech therapists. Includes: Assessment for adaptive equipment needs, Early intervention, Feeding/swallowing evaluation and treatment, Sensory integration therapy, Hand therapy by a certified hand therapist. Speech therapy program evaluates and treats communication and swallowing disorders. Our services help with development and medically related disorders. Communication disorders we treat include: Articulation, Cleft palate, Comprehensive and expressive disorders, Deficiency in understanding language or expressing thoughts, Dysarthria, Hearing problems, Language (adult and child), Oral motor/feeding dysfunction, Stuttering, Swallowing problems/disorders. Neonatal and Pediatric Therapy--Our pediatric physical, occupational, and speech therapists provide specialized treatment for neonates, infants, children and adolescents. They are dedicated to restoring function, preventing disability and helping patients achieve independence in daily living. They are beneficial for: Autism, Assessment for special equipment needs, Congenital disorders, Developmental disorders, Neuromuscular disorders, Orthopedic injuries, Trauma-related disabilities. AmTrykes Demo Site--The Baptist Medical Center East Comprehensive Therapy Center is an Ambucs AmTrykes demo site. Therapists are able to fit disabled children and adults on these special tricycles. For more information about AmTrykes, visit www.montgomeryambucs.org. Appointments--Patients must have a physician's referral for treatment. Services are by appointment only and the Comprehensive Therapy Center staff will make every effort to service all patients."
,General Resources,"Blind or Visually Impaired, Deaf or Hard of Hearing, Deaf-Blind",205 South Street East,Talladega,AL,35160,(251) 432-7777,https://AIDB.org,,"We provide comprehensive education and service programs of superior quality to children and adults who are deaf, blind, deafblind and Multi-disabled and their families."
,General Resources,"CARTT: The Center for Autism Research, Treatment, and Training (CARTT)",Auburn University,Auburn,AL,36849,,https://auburn.edu,,"The Center for Autism Research, Treatment, and Training (CARTT) is part of the Auburn University Psychological Services Center and serves as a training clinic for students in the Behavior Analysis Program in the Department of Psychology. CARTT is an intensive preschool program that uses behavioral, research-based instruction to address the individual needs of children with Autism Spectrum Disorder (ASD) in the Auburn-Opelika community. We also offer a range of behavioral consultation services to individuals and schools in the surrounding area. Best Buddies: Our mission is to build one-on-one friendships between our college members and people with intellectual and developmental disabilities (IDD) from the Auburn-Opelika area. This offers social interactions while improving the quality of life and level of inclusion for a population that is often isolated and excluded. Speech and Hearing Clinic: Haley Center, The clinic provides a full range of evaluation and treatment services for clients of all ages, from infants to the elderly. The facilities include three audiometric test booths, an electrophysiologic test room, fifteen therapy rooms with observation, and a group therapy room. Parent-Child Interaction Therapy: The Auburn University Psychological Services Center offers Parent-Child Interaction Therapy (PCIT), an empirically supported intervention for the reduction of behavior problems in young children. During PCIT, parents work with a graduate clinician supervised by a licensed psychologist to learn play therapy skills to enhance their parent-child relationship. Parents also learn to manage child behavior using behavioral principles. Therapists will work with your family until your child's home behaviors improve. Treatment typically lasts 14-18 weeks, and parents are asked to complete homework assignments with their child between sessions."
,General Resources,Children's Rehabilitation Service,603 South Lawrence Street,Montgomery,AL,36104,(3340 293.7500,https://rehab.alabama.gov,,"Children's Rehabilitation Service a division of the Alabama Department of Rehabilitation Services provides statewide support for children with special healthcare needs and their families, as well as adults with hemophilia. Services are delivered through 14 community-based offices serving every county in Alabama. CRS uses a family-centered, medical, rehabilitative, and educational support. This includes specialty clinics and services from a team of healthcare and support professionals. CRS also works closely with school and families to help children succeed in the classroom through counseling, therapy, assistive technology, and training for educators."
,General Resources,Developmental Disabilities Council,100 North Union Street,Montgomery,AL,36130,(334) 242-3973,https://acdd.org,,"Mission to support independence, advocacy, productivity, and inclusion for Alabamians with developmental disabilities."
,General Resources,"Developmental Disabilities, Alabama Department of Mental Health",100 North Union Street,Montgomery,AL,36130,(334) 242-3454,https://mh.alabama.gov,,Provide an array of services and support to individuals with intellectual disabilities and their families in the state through contractual arrangements with community agencies.
,General Resources,Family Voices of Alabama (FV of AL),1050 Government Street,Mobile,AL,36604,(877) 771-3862,https://familyvoicesal.org,,"Aims to achieve family-centered care for all children and youth with special health care needs and/or disabilities. Through our national network, we provide families tools to make informed decisions, advocate for improved public and private policies, build partnerships among professionals and families, and serve as a trusted resource on health care."
,General Resources,Governor's Office on Disabilities,602 South Lawrence Street,Montgomery,AL,36104,(888) 879-3582,https://good.alabama.gov,,Provide information on Disabilities
,General Resources,Medicaid Waivers,,,,,"Alabama Department of Public Services, (334) 293-7160 Ask for sail waiver program. State of Alabama of Independent living waiver – (800) 441.7607",,,"These waivers help those families who make too much money for Medicaid but ""fall through the cracks"" of their insurance."
,General Resources,"Mental Health Rep. for Children/Youth, Office of Children's Services/ Alabama Department of Mental Health",100 North Union Street,Montgomery,AL,36130,(334) 242-3454,https://mh.alabama.gov,,Comprehensive array of treatment services and supports through four state-operated facilities and contractual agreements with community mental health centers across the state.
,General Resources,Respite Care,1856 Keats Drive,Huntsville,AL,35810,1(866).RESTALA,https://alabamarespite.org,,"Temporary short-term relief for caregivers of individuals with special needs such as: developmental and physical disabilities or other chronic illnesses that are related to health concerns, medical fragility, or for those at risk of abuse and neglect."
,General Resources,Southeast ADA Center,1419 Mayson Street,Atlanta,GA,,(800) 949-4232,https://adasoutheast.org,,"Information, Training and Guidance on the Americans with Disabilities Act ("
,General Resources,Special Education Services,50 North Ripley Street,Montgomery,AL,36130,(800) 392-8020,https://alsde.edu,,Alabama Department of Education
,General Resources,Special Format Library,6030 Monticello Drive,Montgomery,AL,36117,(800) 392-5671,aplsws1.apls.state.al.us,,Alabama Regional Library for the Blind and Physically Handicapped.
,General Resources,State Vocational Rehabilitation Agency,602 South Lawrence Street,Montgomery,AL,36104,(334) 293-7500,https://rehab.alabama.gov,,Provides specialized employment and education related services and training to assist teens and adults with disabilities in becoming employed.
,General Resources,Technology- STAR (Statewide Technology Access and Response for Alabamians with Disabilities),602 South Lawrence Street,Montgomery,AL,36104,(800) 782-7656,https://rehab.alabama.gov,,"STAR is a resource to provide Alabamians free access to information, referral services, educational services, educational programs, and publications in accessible format on extensive topics related to disability rights, laws/policies, and funding opportunities for assistive technology."
,General Resources,Triumph Services,"2301 Arlington Ave South, Suite 200",Birmingham,AL,35205,(205) 581-1000,https://triumphservices.org,,Triumph Services provides a holistic approach to support people who have developmental disabilities. The Individual is in the center as the expert on his/her dreams and goals. The LIVE program provides independent living skills. The WORK program provides competitive employment and purpose in life. The PLAY program provides community integration and healthy relationships. The COUNSELING program addresses depression and anxiety and builds self-esteem.
,General Resources,Vocational Rehabilitational Service,602 South Lawrence Street,Montgomery,AL,36104,(334) 293-7500,https://rehab.alabama.gov,,"Vocational Rehabilitational Service, the largest division of the Alabama Department of Rehabilitation Services, helps youth and adults with disabilities prepare for and achieve meaningful employment. VRS offers personalized education and job training services, working closely with high schools colleges and universities across the state. Specialized programs are available for individuals who are blind or deaf, with professionals trained in their unique communication and technology needs. Through strong partnerships and expert support, VRS empowers Alabamians with disabilities to reach their maximum potential."
,Legal Services,Balch & Bingham LLP,,,,,,https://balch.com,,Protect the future of your special needs child. Special needs planning works to maximize an individual's quality of life to enable them to achieve their full potential. Attorneys in Balch & Bingham's Estate Planning & Trusts Practice can tailor a plan that is right for your child. • Special needs planning • Estate & tax planning • Guardianships • Estate & trust administration & litigation • Settlement planning
,Legal Services,"Capell & Howard, P.C.",150 South Perry Street,Montgomery,AL,36104,(334) 241-8000,https://capellhoward.com,,"At Capell & Howard, our special needs attorneys understand the fear of not knowing how your child will be financially and physically cared for once you're gone. We understand those fears because everyday, we talk and work with parents who are afraid for the futures of their special needs children — afraid the children will lose their government benefits, afraid they'll make a poor medical decision, afraid they'll one day be without a caretaker. That's why we offer you a solid legal plan for your child's future, one that's sculpted to address your concerns and meet your child's many needs. With your input, we develop a plan that provides for the financial and physical well-being of your special needs child — today and every day that follows."
,Muscular Dystrophy,Muscular Dystrophy Association,700 Century Park South #225,Birmingham,AL,35226,(205) 823-8191,https://mda.org,,"Provides informational materials, networking, referrals to local resources, summer camps and an equipment loan program."
,Nutrition,Health Wise,5147 Atlanta Highway,Montgomery,AL,36109,(334) 277-9925,https://healthwisefoods.com,,"Provides nutritional supplements for children and adults with celiac disease, autism, ADD/ADHD and other learning disabilities. We offer a wide variety organic, egg free, gluten free food products for individuals with celiac disease and autism."
,Nutrition,"Lee Silsby, Compound Pharmacy",23865 Mercantile Road,Beachwood,OH,44122,(800) 918-8831,https://leesilsby.com,,Compounding Pharmacy focusing on children with Autism
,Nutrition,Our Kids,3216 Silsby Rd.,Cleveland Hts.,OH,44118,(877) 533-7457,https://ourkidsasd.com,,"Our Kids was founded as the result of the joy Lee Silsby Compounding Pharmacy experiences in working with Autistic children. Our Kids focuses 100% of their product line exclusively on supplements for Autistic children and designing innovative, high quality products."
,Nutrition,The Herb Shop,8161 Vaughn Rd.,Montgomery,AL,36117,(334) 271-2882,,,We have a whole section dedicated to special needs and learning disabilities. Please visit our store for individual supplement recommendations.
,Parks & Recreation,Ida Belle Young Park,5400 Vaughn Road,Montgomery,AL,36116,(334) 625-2300,https://montgomeryal.gov,,Sight Impaired Playground
,Parks & Recreation,Montgomery Zoo,2301 Coliseum Parkway,Montgomery,AL,36110,(334) 240-4900,https://montgomeryal.gov,,"Montgomery Zoo is open year round with the exception of Thanksgiving Day, Christmas Day and New Years Day. The zoo opens at 9:00 am and closes at 5:00 pm. The Montgomery Zoo is handicap accessible. Wheelchairs are available for rental at the Zoofari Gift Shop. The play area does have handicap accessible swings."
,Parks & Recreation,Overlook Memorial,299 Jay Street,Prattville,AL,36066,(334) 361-3640,,,"Handicap accessible, swings"
,Parks & Recreation,Pratt Park Child Place,460 Doster Road,Prattville,AL,36066,(334) 595-0800,https://prattvilleal.gov,,"Handicap accessible, swings"
,Parks & Recreation,Spinner's Park,390 West 6th Street,Prattville,AL,36067,(334) 358-1355,https://prattvilleal.gov,,Metal slides for cochlear implants
,Parks & Recreation,Therapeutic Recreation Center,604 Augusta St.,Montgomery,AL,36111,(334) 240-4595,,,"One of Montgomery's proudest accomplishments, makes recreation accessible to our city's special population. The center offers a 26,000 square foot facility that is barrier free, and features a large gymnasium, indoor/outdoor swimming pools, weight room, game rooms, meeting rooms, locker rooms and a kitchen. Spring Prom and Special Olympic competitions are held here."
,Parks & Recreation,Thompson Park,1655 Ray Thorington Road,Pike Road,AL,36064,(334) 625-2300,https://funinmontgomery.com,,"""No Limits"" Miracle Field Playground and Miracle League Ball Field."
,Parks & Recreation,Vaughn Road Park,3620 Vaughn Road,Montgomery,AL,36106,(334) 625-2300,https://montgomeryal.gov,,Boundless Playground
a,Recreation and Enrichment,Dream Court Inc.,,Montgomery,AL,,(334) 414-1980,https://Dreamcourt.org,,"Sharing hope, changing lives. Adaptive tennis program in Montgomery, AL for children and adults with physical and intellectual disabilities. Dream Court provides an opportunity for individuals with intellectual and/ physical disabilities a chance to play the lifetime sport of tennis. Dream Court focuses on inclusion, active lifestyle, positive self esteem, appropriate social behavior, and having fun while learning the sport of tennis."
a,Recreation and Enrichment,M.A.N.E.,3699 Wallahatchie Rd,Pike Road,AL,36064,(334) 213-0909,https://maneweb.org,,"The Montgomery Area Non-traditional Equestrians is dedicated to improving the lives of children and adults with a wide range of disabilities through safe and effective therapeutic riding and equine-assisted learning activities. Email: Director- tiffany@maneweb.org, Associate Director (Student Intake)- abby@maneweb.org, Volunteer Coordinator- jess@maneweb.org"
a,Recreation and Enrichment,Prattville YMCA,Locations in Prattville,Prattville,AL,,(334) 365-8852,https://prattvilleymca.org,,"Abilities Sports & Classes including Adaptive Sports Clinics, Field of Dreams Baseball and Kickball, Gymnastics Lessons, Swimming Lessons. Call today for more information."
,Recreation and Enrichment,Access To Recreation,,Cornelius,NC,,(888) 504-5611,https://accesstr.com,,Provides exercise and recreational equipment for people with disabilities
,Recreation and Enrichment,Angels Among Us,,,,,(334) 430-2991,https://aaucmty.com,,A community with a mission to promote a fun positive atmosphere for children with special needs or developmental delays. email: angelsamongus2018@yahoo.com.
,Recreation and Enrichment,Armory Athletics,1018 Madison Avenue,Montgomery,AL,36104,(334) 241-2789,https://armoryathletics.com,,Classes offered and combined. Case to case basis upon the need of extra coaches. Please call for more information.
,Recreation and Enrichment,Boy Scouts of America,3067 Carter Hill Rd.,Montgomery,AL,36111,(334) 262-2697,https://scouting.org,,We provide an educational and social program for boys and young adults.
,Recreation and Enrichment,Captains for Kids,Gulf Shores,Orange Beach,AL,,(850) 438-5555,https://captainsforkids.com,,"Fun activities on the water for kids with special needs and illness. We offer fishing charters, dolphin cruises, pirate cruises, sailing charters, parasailing, banana boat rides, airboat rides and more. (850) 438-5555 or (850) 377-6422"
,Recreation and Enrichment,Children's Harbor Family Center & Camp,1600 6th Avenue South,Birmingham,AL,35294,(205) 638-6123,https://childrensharbor.com,,Children's Harbor provides children with serious illnesses and their families a place to be themselves – to have fun and relax – while also receiving no-cost services that make life a bit easier for the whole family.
