Advertiser,Category,Business,Address,City ,State,Zip,Phone,Website,Facebook,Email,Description
,Bowling,Bowlero,1661 Eastern Blvd.,Montgomery,AL,36117,(334) 819.7171,bowlero.com,,,Youth Leagues will be starting up in the fall. You may come in and sign up anytime.  
,"Dance, Gymnastics & Cheer",Tammy's Academy of Dance,742 U.S. Hwy 231,Wetumpka,AL,36092,"Tammy Rauch, 
(334) 221.2657",tammysacademyofdance.net,Tammy's Academy of Dance,info@tammysacademyofdance.net,"Registration going on now.  Ballet, Tap, Jazz, Pointe and Contemporary and Tumbling. Classes for ages 3 through adult. "
a,"Dance, Gymnastics & Cheer",Alabama Dance Theatre,1018 Madison Ave.,Montgomery,AL,36104,(334) 241.2590,alabamadancetheatre.org,Alabama Dance Theatre,,"The Alabama Dance Theatre will be offering fall classes in classical ballet (pre-ballet to the professional level), pointe, modern, jazz, hip-hop, contemporary and tap. Classes will be held at the Armory Learning Arts Center, home of the Alabama Dance Theatre located at 1018 Madison Avenue."
,"Dance, Gymnastics & Cheer",Armory Athletics Center,1018 Madison Ave.,Montgomery,AL,36104,(334) 241.2789,armoryathletics.com, Armory Athletics,armoryathletics1@gmail.com,"Fall classes begin in August.  Ongoing registration. Various leveled classes offered in  Gymnastics,  Tumbling,  and Ninja. Ages 3-18, all skill levels.  Cheer, Competitive Gymnastics Team, Private lessons, Monthly special events, Parents Night Out and Camps offered. Classes offered are 45-1 hour classes: Various evening class times Monday through Thursday. Please call for rates."
,"Dance, Gymnastics & Cheer",C.J.’s Dance Factory (home of the Prattville Ballet),145 S. Court St. ,Prattville,AL,36067,(334) 467.8603,cjsdancefactory.com,CJ's Dance Factory,,"Registration on Thursdays in Prattville 5:30-7:00.  Instruction in: Classical Ballet/Pointe, Jazz/Lyrical, Tap, PowerTumble Gymnastics and Preschool Dance (ages 18 months to 5 years). Meet your instructor, tour the facility, watch the Nutcracker with refreshments, purchase dancewear, and pick up your costume! All students will participate in this year’s winter Production of the Grinch Ballet, as well as many other performances. Open auditions, for all dancers 5 and up are Thursday, August 27th at 5:30.  Ages preschool to professional."
a,"Dance, Gymnastics & Cheer",Dance Generation,65 Ashburton Drive,Montgomery,AL,36117,(334) 395.4300,dancegenerationstudio.com,Dance Generation,," Tap, Ballet, Jazz/Hip hop, Lyrical, Baton and Gymnastics 
Registration going on now at the Studio.  Visit our Facebook page or please call  334-395-4300 or 334-283-2201"
,"Dance, Gymnastics & Cheer",Evolve Dance Company,2072 Fairview Avenue (Pratt's Mill Shopping Center),Prattville,AL,36066,(334) 730.0310,, Evolve Studio for the Arts,info@efsta.com,We offer a variety of styles of dance for ages 2 and older. Please check our website for fall class dates.
,"Dance, Gymnastics & Cheer",Lisa’s Dance Dimensions,101 Penser Blvd.,Millbrook,AL,36054,(334) 303.7279 or (334) 300.6285,lisasdancedimensions.com,Lisa's Dance Dimensions,LDDNDG@aol.com,"Offer Parent/Tot, Ballet, Pointe, Lyrical, Jazz, Tap, and Gymnastics. Class times vary according to age and level. Registration August 5 & 6 from 4-6 p.m.  Registration will take place at Gym Location 101 A Penser Blvd., Millbrook. "
,"Dance, Gymnastics & Cheer",Mann Dance Studio,422 Pratt St.,Prattville,AL,36054,(334) 365.5154,manndancestudio.net,Mann Dance Studio,,"The studio offers and excels in all forms of dance, offering beginner, intermediate, and advanced classes.  Registration going on now and classes start in August .Tap, Lyrical/Contemporary, Pointe, Ballet, Gymnastics, Hip Hop, Baton and Jazz.  Call for class times and dates. "
,"Dance, Gymnastics & Cheer",Next Dimension Gymnastics,"101A Penser Blvd., ",Millbrook,AL,36054,(334) 303.7279 or (334) 300.6285,lisasdancedimensions.com,Lisa's Dance Dimensions,,"Classes offered: Parent/Tot Tumbling (ages 18mths-3), Tumble Tots (ages3-5), Super Hero Gymnastics (ages 3-5 boys), Junior Olympic Gymnastics (ages 5 and up), Cheer/Jump/Tumble (ages 7 and up). Class times vary according to age and level. Registration August 5 & 6 from 4-6 p.m.  Registration will take place at Gym Location 101 A Penser Blvd., Millbrook. "
,"Dance, Gymnastics & Cheer",Pike Road Dance Academy,232 West Elizabeth Lane,Pike Road,AL,36013,(334) 782.9200,pikeroaddance.com,,pikeroaddance@gmail.com,"Offering 9 levels of dance classes ranging from beginner, intermediate to advanced, and competition style (professional) instruction. These classes were developed for beginners all the way to more serious dancers seeking a progressive curriculum.  Please visit our website for more information."
,"Dance, Gymnastics & Cheer",Tutu School,2690G Zelda Road,Montgomery ,AL,36106,(334) 363.3360,,Tutu School of Montgomery,,"Tutu School is a whimsical storybook ballet school for children 18 months to 8 years old offering classes, parties, and camps. Registration is on going. Please call for more information and rates. We offer a free trial class before enrolling. "
a,"Dance, Gymnastics & Cheer",Alabama River Region Ballet,7981 Vaughn Road,Montgomery,AL,36116,(334) 356.5460,alabamariverregionballet.com,Alabama River Region Ballet,,"Registration going on now. Classes begin in September.  Classes offered in all levels of Classical Ballet, Pre-Pointe and Pointe, Creative Movement and Jazz.  Audition information for the Alabama River Region Ballet’s Youth Company will be announced on our website. "
,"Dance, Gymnastics & Cheer",The Montgomery Ballet,440 Coliseum Blvd.,Montgomery,AL,36109,(334) 721.3687,montgomeryballet.org,Montgomery Ballet,info@montgomeryballet.org,"The Montgomery Ballet is the producer of Performance on the Green, Ballet and the Beasts and The Nutcracker. Training provided in Classical Ballet for children and adults of all ages (2 1/2 to adult). Classes for different levels, (divided both by age and skill). As the Official School of The Montgomery Ballet Company, we are committed to developing first class ballet artists through quality training by experienced professional dancers in a healthy, nurturing and disciplined atmosphere.  Please call for dates Classes begin in August and the annual School Performance will be held in May. Open enrollment. Classes offered in Classical Ballet, Pointe, Variation, Modern, Tap, Jazz, Musical Theatre, Hip Hop and Contemporary. We also have a Civic Company."
a,"Dance, Gymnastics & Cheer",Tonya Speed's Dance Connection,3370 Harrison Rd.,Montgomery,AL,36109,(334) 277.1098,,Tonya Speed’s Dance Connection,,"Fall registration will be August 10th from 3-7 p.m.  Classes in Ballet, Tap, Tumbling, Jazz, Lyrical/Contemporary, Hip Hop, Baton and Competitive dance. Ages 2 ½ to Adult (beginner and advanced) Please call for class dates and times.  Preschool classes also available on site."
a,"Dance, Gymnastics & Cheer","United Gym Stars & Cheer, L.L.C.",6100 Brewbaker Blvd.  ,Montgomery,AL,36116,(334) 284.2244,unitedgymstarsandcheer.com,United Gymstars & Cheer,,"Offer Baby gym for ages 1&2, Kinder Gym for girls ages 3-4, Boys’ Preschool for boys ages 3-5, Junior Gym ages 5 & 6 yrs., Boys’ Progressive ages 6 and up, Girls’ Progressive ages 7 and up. Beginning, Intermediate, & Advanced Tumbling. Cheer and Tumble for Girls’ ages 9 and up. Please call for times and prices. Family discounts available. Registration on a monthly basis."
,Drama Classes & Public Speaking,Alabama Shakespeare Festival: Acting Academy,1 Festival Drive,Montgomery,AL,36117,"Will Cotter, (334) 271.5324",asf.net,Alabama Shakespeare Festival,glambert@asf.net,"Learn more about the craft of acting at ASF’s Acting Academy.
Fall Academy classes are open to new and returning students and will feature different content and material from the fall session.
Please call or check our website for fall class dates and information."
,Drama Classes & Public Speaking,Wetumpka Depot Players,300 South Main Street,Wetumpka,AL,36092,(334) 868.1440,wetumpkadepot.com,Wetumpka Depot,kmeanor@wetumpkadepot.com,Fall Afterschool Sessions and Homeschool sessions available.  Please email to be contacted when those programs are finalized.
,Horses,Foxwood Farms,,Pike Road,AL,36064,(334) 546.7622,foxwoodfarms.biz,Foxwood Farms,,Safe and structured lessons offered from beginning riders to experienced competitors.  Lessons are taught on a semester basis. Please visit our website for rates.
,Horses,MANE (Montgomery Area Non-traditional Equestrian),3699 Wallhatchie Road,Montgomery,AL,36064,(334) 213.0909,maneweb.org,Horses and Hope,,"Applications available online. Successfully teaching independent riding skills to children with cerebral palsy, mental disabilities, autism, hearing impairment and other disabilities. Goals developed individually for clients. We offer camps during the summer and winter months."
,Martial Arts,Family Karate Center,"8159 Vaughn Rd, Peppertree Shopping Center",Montgomery,AL,36117,(334) 277.4911,montgomeryfamilykarate.com,Montgomery Family Karate Center,,"Montgomery’s Christian Martial Arts. Mon.- Saturday (ages 2 and up): No enrollment fee, no contract. Specialize in ADD, LD, handicapped, mentally challenged, visually impaired, blind, autistic, deaf, overweight children, and children with depression anxiety disorder. Founders of the “Stranger Danger Child Abduction Prevention Program, ASK MOM FIRST Child Molestation Prevention, and the How to Handle Bullies and Aggressive People Program. Family Karate Center now also offers Japanese Martial Arts Training and Weaponry. "
,Martial Arts,Fleming's Martial Arts,5521 Wares Ferry Road,Montgomery,AL,36117,(334) 277.5425,flemingsmartialarts.net,,,"Classes for children and adults.  A structured, systematic curriculum is offered in a focused and safe training environment."
,Martial Arts,Johnson Karate and Fitness Center,1751 Eastern Blvd.,Montgomery,AL,36116,(334) 284.2344,johnsonsmartialartsacademy.com,Johnson’s Martial Arts Academy,,"Classes for ages 3 to Adults. At Johnson’s Karate & Fitness Academy we teach Tae Kwon Do, Self-Defense, Private Lessons, Fitness Kickboxing, Pilates, and Sport Karate. We are now offering early morning Kick Boxing classes. We offer free trial lessons. Phil. 4:13. "
,Martial Arts,Martial Arts Center,565 Pike Road,Pike Road,AL,36064,(334) 301.3722,, The Martial Arts Center Inc.,,"Martial Arts combined with discipline and etiquette. Martial Arts is good, clean fun for kids and a great way to give them a head start in life. Our primary focus is to teach children life skills. Because a structure of respect, courtesy and honesty is built into KUK SOOL, children develop the ability to learn, listen and achieve within a highly regulated environment. Ages 6 yrs.-8 yrs. and 9 yrs. – 15 yrs. Call for times and prices."
,Martial Arts,Montgomery Judo Academy,1555 Eastern Blvd,Montgomery,AL,36116,(631) 767.8052,usja.net,,,"Your child will reach new heights when they learn judo the gentle way! Gain confidence, build character, and learn respect. Teaching kids, teens and adults. Louis A. Balestrieri, Coach/Sensei"
,Martial Arts,"NextGen Martial Arts, Prattville",698 Old Farm Lane N,Prattville,AL,36066,(334) 590.3759,nextgenmartialarts.com,Next Gen Martial Arts,,"Tang Soo Do, Li’l Dragons (4-6 years) and XMA (Xtreme Martial Arts) offered. Many programs available. "
,Martial Arts,Tiger Park TKD ,3125 Bell Road,Montgomery,AL,36116,(334) 277.2627,tigerparktkd.com,Chungs Taekwondo Center Tiger Park Taekwondo,,"Classes for everyone Ages 3 to adult. We now offer an After-school Program. We provide free transportation from your child's school to our facility.  Our program is designed to help your child be the best they can be, develop great self confidence, strengthen mental and physical discipline and create an interactive and educational environment."
,Martial Arts,Taekwondo Mojo,7919 Vaughn Road,Montgomery,AL,36117,(334) 462.4758,taekwondomojo.com,,,We are dedicated to providing a supportive and empowering environment for individuals of all ages to learn and grow through the practice of Taekwondo.  Please call or visit our website for more information. 
,Martial Arts,US Yoshukai Karate,290 N. Burbank Dr.,Montgomery,AL,36117,(334) 657.2032,usyka.com, US Yoshukai Karate,usyka1997@gmail.com,Visit us on Facebook under US Yoshukai Karate for more details and classes offered. Ages 5 and up.
,Recreational & Sports,Alabama Nature Center  Fall Homeschool classes,3050 Lanark Road,Millbrook,AL,36054,(334) 285.4550,alabamawildlife.org/homeschool-programs/,,,"Fall registration for the 8 classes is open on the website. 
$80.00 per child for the 8 class program.  There is a $5 per sibling discount for each family.
Class days are Wednesdays or Thursdays for the fall.  There are 2 time options to choose from; 10:00 a.m. – 12:00 p.m. or 1:30 – 3:30 p.m. for Wednesdays or Thursdays.
There is a 10 student class limit for the Discoverers.  (3.5 – 5 year old class)  You may need to register earlier rather than later for the Discoverers class.
Each other class will have a 15 student class limit.  The number of classes offered each day is subject to the availability of staff here at the nature center.  As registrations come in we will adjust our classes.
Students will be placed in classes with students who are closest to their ages."
,Recreational & Sports,Boys & Girls Clubs of the River Region,412 North Hull Street,Montgomery,AL,36104,"Administrative Office, (334) 832.4288",bgcmala.org,Boys and Girls Club of Montgomery,,"Chisholm, (334) 265.2469,
2612 Lower Wetumpka Rd.
 West End, (334) 263.3371,
220 Crenshaw Street
 Wetumpka, (334) 478.4904
499 Alabama Street
Provides programs and opportunities, which encourage young people, particularly the disadvantaged, to maximize their potential and become caring productive citizens of our community. Activities include character and leadership development, health and life skills, education and career development, sports, fitness and recreation, and the arts. Clubs are open Mon-Fri from 3-9 p.m. during the school year and 9-5 on school holidays and in the summer. All locations serve children ages 6-18. $5.00 a year per child."
,Recreational & Sports,Boy Scouts,3067 Carter Hill Rd.,Montgomery,AL,36111,(334) 262.2697,tukabatcheebsa.org,,,"About 100 Cub Scout packs located in various private and public schools, churches, etc. August/September, city wide Fall Recruitment night for Scouts, parents can enroll their child in a pack that night. Someone will be handing out brochures at all schools in August/September. Homeschoolers are welcome."
,Recreational & Sports,Churches,,Montgomery,AL,,,awana.org,,,Check local churches for programs. AWANA Programs are popular. 
,Recreational & Sports,Daycares,,Montgomery ,AL,,,,,,Please check with local daycare centers for the option of after school care. Check out Montgomery Parents on the web at www.montgomeryparents.com and use our archived April Child Care Directory to get started.
,Recreational & Sports,"Doster Center, Prattville",101 West Main Street,Prattville,AL,36066,(334) 361.3640,,,,"Various after school activities include Afterschool Recreation Club for grades K-6th. Monday – Friday, 3 p.m. – 6 p.m. (After school transportation provided.), Vacation Club Day (for school holidays when children are out of school but parents are still working) Grades K-6, 7:30 a.m. – 5:30 p.m."
,Recreational & Sports,Frazer Upward Basketball,Atlanta Hwy,Montgomery,AL,36117,(334) 495.6459,frazer.church,Frazer Church,,Program available for girls 5 years through 8th grade and boys 5 years through 8th grade. Registration only during the month of October. Practice begins in December. Games begin in January. 
,Recreational & Sports,Frazer Upward Football & Cheerleading,Atlanta Hwy,Montgomery,AL,36117,(334) 495.6459,frazer.church,Frazer Church,,"Registration begins July and runs through August.  Program offered Aug.-Oct. for rising 1st- 6th grade. Spiritual development through devotionals, coaching and athletic skills. Registration is open now. Please visit us at www.frazer.church under the family and sports & fitness tabs for registration link."
,Recreational & Sports,Girl Scouts,2501 Bell Road,Montgomery,AL,36117,(800) 239.6636,girlscoutssa.org,Girl Scouts of Southern Alabama,,"Daisies, Brownies and Girl Scouts. Girls discover who they are, where their talents lie, and what they care the most about. And they take action to change the world. Through our program, the Girl Scout Leadership Experience, girls develop a strong sense of self, display positive values, and seek challenges.  "
,Recreational & Sports,Montgomery YMCA,,Montgomery,AL,,"Soccer Branch, (334) 396.9754 or (678) 571-7605
Kershaw Center, W. Fairview Ave. (334) 265.1433
Cleveland Ave., Rosa Parks Ave. (334) 265.0566
Downtown, South Perry Street (334) 269.4362
East Y, Pelzer Avenue (334) 272.3390
Bell Road Y, Bell Road (334) 271.4343
Goodtimes Center, off Bell Road (334) 279.8666
Southeast Y, Carter Hill Road (334) 262.6411
Camp Chandler, Lake Jordan (334) 269.4362
Camp Grandview, Millbrook (334) 290.9622
James Wilson Jr, 1445 Wilson Park Dr., (334) 356.8471
",,,,"Offering over 100 different programs for all ages. Including inside and outside youth and adult soccer, football (grades 1-6), basketball (year-round & all ages), track, soccer (ages 6 & up), mini-soccer (ages 4 & 5), aquatic program, cheerleading (grades 1-6), Leaders Club & Tri-Hi-Y (grades 7-12), and much more. Fees vary by activity and membership. Boys and girls can enjoy teamwork, sportsmanship and healthy competition. Contact your local YMCA branch.
Cheerleading 
Cheerleading will build confidence and self esteem while developing social skills and healthy relationships with others.  Ages 5-12 (no 7th graders allowed) Season: September-November. Games on Saturdays. Registration going on now until August 4th.
Basketball for ages 4-15
Registration begins in September.
Youth Tackle Football
Season: September-November. Ages 6-12 (No 7th grade players will be allowed.) Games will be on Tuesdays, Thursdays and Saturdays. Registration will be going on until Aug 4th.  Late Registration from August 5th-13th.
Mini Flag Football
Ages: 4-7. Provide players the opportunity to learn the basics of football in a developmental environment.
Registration will be going on until Aug 4th.  Late Registration from August 5th-13th.
Ice Hockey
Ages 4-11. Children will learn the fundamentals of ice skating and begin to practice the skills needed to play ice hockey. This program will begin as an instructional program and evolve into a developmental league program. Please call for more information. 
Fall Outdoor Mini-Soccer for ages 3 & 6
Registration June 14 through August 12.  Season begins in August and will end in October.
LaCrosse
The YMCA Montgomery Capitals will be formed as a competitive youth lacrosse Club. Our philosophy will be to allow all youth participants the opportunity to participate, develop a love for the game and continue to develop their skills and fundamentals. Please call for more information.
Soccer
Website: www.capitalcitystreaks.org
Email: msanchez@capitalcitystreaks.org. Participants can sign up at any local YMCA.
Recreational Soccer: Season- September-November and April-May. Ages 6-18. Games  Mondays, Tuesdays, Thursdays, Fridays and Saturdays. Registration is open now. Practice begins in August and games begin in September.
Indoor Soccer
Season December-January, February-March, June-August. Ages 7-17. Games Monday, Tuesdays, Thursday, Friday and Saturday depending on age group. Registration TBA
Barracuda’s Competitive Swim Team
The YMCA has a year-round competitive swim program based at the East YMCA. Contact (334) 272.3390. Tryouts will held in August. Please call for more information. They can also be contacted online at www.ymcamontgomery.org.
Indian Guide (Parent-Child Program)
The Adventure Guides and Princesses offers activities for children K-3rd grade and their parents. Program that aids in the growth and development of families. Contact Jeff Reynolds at (334) 269.4362 for additional information. Starts in September.
"
,Recreational & Sports,Montgomery YMCA Goodtimes Center,"2325 Mill Ridge Dr., off Bell Road",Montgomery,AL,36117,(334) 279.8666,ymcamontgomery.org,YMCA of Greater Montgomery,,"Staffed from 2:30 to 6 p.m. After school programs are at the schools. Programs include snack and juice, homework time, music and language, storytelling time, outside activities, arts and crafts, projects, Science and Nature, multicultural activities, and creative time. Open registration. Also, before school programs at certain schools from 6:45 and 7 a.m. til school starts."
a,Recreational & Sports,Prattville YMCA,"972 McQueen Smith Rd. S,      600 E. Main Street
348 Hwy 82 West ",Prattville,AL,"36066, 36067",(334) 365.8852 or for the Prattville Bradford Branch call (334) 358.1446. ,prattvilleymca.org,Prattville YMCA,,"Registration going on now. Main After School Program, Kindergarten After School, Primary After School, Pine Level, and Daniel Pratt. Prepay first week at registration. Vans will pick up kids at public school and take them to the Main Site Program. Main Site cost is $70 for first child for members and $85 for non-members per week.  Discounts for second and third children. Family discounts available.  Fall sports are as follows: Football, Cheerleading, Baseball, Basketball, Taekwondo, Volleyball, Cheer, tumble, gymnastics and swim lessons available.  Please call for fall sports registration dates."
,Recreational & Sports,Therapeutic Recreation Center,604 Augusta Street,Montgomery,AL,36111,(334) 240.4595,montgomeryal.gov,Montgomery Therapeutic Recreation Center,,"For the mentally and physically challenged. Various programs available. Classes run from 4 p.m. – 5 p.m. Monday thru Friday. Transportation is provided for Montgomery public schools. Space is limited, so please register on time. Please call for more information about registrations dates and times."
,Recreational & Sports,Wetumpka YMCA,200 Red Eagle Drive,Wetumpka,AL,36092,(334) 567.8282,ymcamontgomery.org,Wetumpka YMCA,,"YMCA Goodtimes after hours for school age children (5 to 11 yrs.) pick up and keep them until 6 p.m. Have several programs, including: Summer Camp, Youth Sports, Football, Volleyball, cheerleading, basketball, karate, T-Ball, Swim Team and soccer. Open registration. The following sports are available beginning in the fall: Football for boys’ ages 6-12, cheerleading for girls’ grades 1-6, Mini-soccer for ages 4-5."
,Soccer,FC Montgomery Futsal Soccer,5334 Atlanta Hwy.,Montgomery,AL,36117,(334) 207.5442,fcmontgomery.com ,FC Montgomery,brunomr@fcmontgomery.com ," Outdoor Travel Soccer and Indoor Local Futsal club.  A variety of programs offered, including; Soccer Camps, 3v3 Tourneys, Lessons, Soccer Parties, Soccer Tours and Homeschool. Registration is on going. Please check our website for our training and games schedule and team evaluation dates.
Coach Bruno (Former pro & College coach – Masters Phy. Ed."
,Soccer,Frazer Sonshine Soccer,Atlanta Hwy. ,Montgomery,AL,36117,(334) 495.6458,frazer.church ,Frazer Church,,Held at Frazer Soccer Fields will be held in the Spring. Ages 5-12.
,Soccer,St. James Upward Soccer,9045 Vaughn Rd.,Montgomery,AL,36117,(334) 277.3037,sjlife.com ,Upward Soccer Saint James UMC,kari@sjlife.com,"Registration available online.  K4 through 4 grade (boys and girls welcome)
Registration is going on now. "
,Soccer,YMCA Capital City Streaks,300 Brown Springs Road,Montgomery,AL,36117,(334) 218.3750,capitalcitystreaks.org,Montgomery Capital City Streaks,msanchez@capitalcitystreaks.or,"Participants can sign up at any local YMCA.
Season- September-November and April-May. Ages 6-18. Games:  Mondays, Tuesdays, Thursdays, Fridays and Saturdays. Registration is open now. Practice begins in August and games begin in September."
,Skating,2211 Ultimate Playzone ,3541 McGehee Road,Montgomery,AL,36111,(334) 593.7180,2211ultimateplayzone.com,,,"Skating, birthday parties and Inflatables.  Laser Tag!  Summer Open Skate and much more! Please visit our website for regular and holiday hours during current season. We offer unique educational and recreational opportunities for schools and colleges. Our STEM-focused field trips provide a fun and engaging way to learn outside the classroom, while our college building trips are perfect for team-building and socializing in a dynamic setting."
,Skating,Skate Zone 2000 ,88 Red Eagle Pkwy.,Wetumpka,AL,36092,(334) 567.4434,, Skate Zone Wetumpka,,"Birthday Parties, State of the Art Lasertag, Homeschool Days Skating and more."
a,Swimming & Scuba,Adventure Sports Aquatic Center,1546 E. Ann Street,Montgomery,AL,36107,(334) 269.3483,advsports2.com,Adventure Sport II,,"Heated indoor pool year round.  Swimming Lessons, Scuba and Life Guard Classes.  "
,Swimming & Scuba,Swim Prep,2212 Howard Murfee Blvd.,Prattville ,AL,36066,(334) 356.6116,swimprepllc.com,"Swim Prep, LLC",rebecca@swimprepllc.com,Private One-o-one swim lessons starting at 6 months.  Maintenance and group classes offered after student has graduated our program. Please visit our website for more information and to register.
,Swimming & Scuba,YMCA Barracuda’s Competitive Swim Team,3407 Pelzer Avenue,Montgomery,AL,36109,(334) 272.3390,ymcamontgomery.org,Montgomery YMCA Barracudos,rklages@ymcamontgomery.org,The YMCA has a year-round competitive swim program based at the East YMCA. Please call (334) 272.3390. Tryouts will be held in August. Please call for more information.
,Tennis,Hampstead Tennis,Hampstead,Montgomery,AL,36116,"(334) 207.9821, Jan Gelabert",,,Hampsteadtennis@att.net,"Tennis lessons open to both residents and visitors interested in enjoying the fun of tennis. Players welcomed from beginner to advanced level play of ages, and offer weekly organized private lessons"
a,Tennis,O'Connor Tennis Center,500 Anderson Street,Montgomery,AL,36107,(334) 240.4884,oconnortenniscenter.com ,O'Conner Tennis Center,bbradshaw10s@gmail.com,After-school Tennis Clinics offered during the school year for all ages. We follow the MPS school schedule. 
,Tennis,Wynlakes Tennis,7900 Wynlakes Blvd.,Montgomery,AL,36117,(334) 273.8425,wynlakes.com,Wynlakes Tennis,dleal@mindspring.com,The Wynlakes Junior Tennis Program offers classes for students 4 years and older. Beginning with “Pee Wee Tennis” the players graduate to “Rising Stars” and move to “Excellence” and finally to the “Wynlakes Junior Tour” where players receive state ranking. Tennis at Wynlakes is a sport for everyone and is the sport of a lifetime. Please call for class times and days. 
,Tutoring,Better Than Average ,"2820 Fairlane Dr., Suite A3",Montgomery ,AL,36116,(334) 802.1315,betterthanaverage.online,,,Building Confidence. Creating individuals who love learning.  Our peer tutors aim to build relationships with our students to make learning more engaging and relatable.  We strive to show our students their potential and to strengthen confidence in their capabilities by celebrating their acheivements.  In-person and virtual.
,Tutoring,Ed Tech Academy,,Montgomery,AL,36116,(334) 296.2393,edtechacademy.org,,info@edtechacademy.org,"Do you want to see an improvement in your child’s academics? Offering STEM and technology daytime and afternoon programs. Tutoring, adult classes, parent’s night out, Saturday workshops and more. Homeschoolers welcome. Discounts for multiple children, military and state employees."
,Tutoring,Enjoy Learning Center,"2801 Vaughn Plaza Rd., Suite H
",Montgomery,AL,36116,(334) 625.9535,enjoylearningcenter.com,Enjoy Learning Center Tutoring,fb@enjoylearningcenter.com,"One-on-one tutoring for ages 4 to adult. Math, science, chemistry, reading, comprehension, phonics, spelling, writing, graduation exit exam, ACT and SAT. Certified, skilled teachers. Credit/debit cards accepted."
,Tutoring,Huntington Learning Center,3251 Malcolm Drive,Montgomery,AL,36116,(334) 277.9200,huntingtonhelps.com,,,"One on one instruction in 
a specific course. Tutoring for K-12 in reading, all levels of math, study skills, writing, phonics, vocabulary and more. SAT, ACT PSAT, Advanced Placement test prep."
,Tutoring,Kumon Reading & Math Center,8115 Vaughn Rd,Montgomery,AL,36116,(334) 649.1178,kumon.com,,montgomerysoutheast_al@ikumon.com,After-school academic enrichment program that helps children achieve success. The Kumon Math program develops necessary skills to help children progress from counting through calculus. The Kumon Reading program begins with basic phonics and progresses all the way through advanced reading comprehension.
