title,start_date,start_time,end_date,end_time,location,address,email,phone,website,cost,description
Bud's Field Trip to American Village,"Thursday, May 21, 2026",4:00 PM,,5:00 PM,Autauga-Prattville Public Library,"254 Doster St Prattville, AL 36067",,(334) 365-3396,https://appl.info/event/buds-field-trip-to-american-village,,"Join us for a special program where kids ages 7 – 12 years will dive into the world of value, trade and barter using the book Bud's Field Trip to American Village. This program is an AHFA Kid's Financial Literacy Adventure!"
Gary Edmunds Duo: Live at The Lyric,"Thursday, May 21, 2026",6:00?PM,,9:00?PM,"124 West Main Street, Prattville, AL 36067",,thelyric@prattvilleal.gov,,https://thelyricatesthers.com/events/tony-brook-7wlfx,,"Gary Edmunds is a Birmingham-based Alabama music legend known for his expressive guitar playing, voice and songwriting. He has been a fixture in some of the best Alabama-based bands for decades."
ZooBrews and Food Festival,"Thursday, May 21, 2026",6:00 PM,,10:00 PM,Montgomery Zoo and Mann Wildlife Museum,"2301 Coliseum Parkway, Montgomery, Alabama 36110",zooinfo@montgomeryal.gov,(334) 625-4900,https://www.montgomeryal.gov/Home/Components/Calendar/Event/10130/4288,,"Join us for spring evening full of tailgating fun and follies: a yummy assortment of food trucks, beer and wine vendors, live bands and entertainment, large lawn games to play, and much more. Great time to bring lawn chairs and blankets, enjoy the food, beverages, music, and play a few games, all under the stars of the Montgomery Zoo. Awesome time spend with family and friends enjoying a great casual afternoon. See you there!"
Let's Go Legos!,"Friday, May 22, 2026",3:00 PM,,4:30 PM,Autauga-Prattville Public Library,"254 Doster St Prattville, AL 36067",,(334) 365-3396,https://appl.info/event/lets-go-legos-3,,"School's out for summer! Let's celebrate with fun brick building at the library! The Lego bins and a few challenges will be out and you can come, build and play for as long as you would like."
Jubilee Pops,"Friday, May 22, 2026",7:00 PM,,,Alabama Department of Archives and History,"624 Washington Avenue, Montgomery, AL 36104",,(334) 240-4004,https://www.montgomerysymphony.org/jubilee,,"Join Montgomery Symphony Orchestra for a free concert event! Bring your family, friends, lawn chairs, and a picnic basket for a delightful evening under the stars with classic patriotic tunes."
Prattville Pops Memorial Day Concert: Live at The Lyric,"Friday, May 22, 2026",7:00?PM,,8:30?PM,"124 West Main Street, Prattville, AL 36067",,thelyric@prattvilleal.gov,,https://thelyricatesthers.com/events,,"Get ready to tap your feet and sway to the beat as the Prattville Pops Concert Band takes the Lyric stage in honor of Memorial Day. Our talented musicians come from all walks of life, united by their love for music. Whether you enjoy amazing overtures, are mad for marches, or enjoy compelling concert pieces, you'll be swept away by the contagious rhythms and soulful melodies of our performances. Get ready to experience the thrill of a live performance with the Prattville Pops Concert Band!"
Tony Brook Band: Live at The Lyric,"Saturday, May 23, 2026",6:00?PM,,9:00?PM,"124 W Main St, Prattville, AL 36067",,thelyric@prattvilleal.gov,,https://thelyricatesthers.com/events/tony-brook,,"Tony has opened up for such acts as Willie Nelson, Ray Charles, Government Mule, Robert Earl Keen and Sam Bush, & has had songs recorded by American Idol Taylor Hicks, the late great Wayne Mills, & blues legend Billy Earl McClelland. He has appeared on the airwaves worldwide, such as BBC Radio with Keith Greentree & Stephen Bumfrey. ""I try to cover all the Tony Brook songs I can. Tony can paint a picture of Alabama better than anyone I know."" -Adam Hood, Low Country Sound and Warner/Chappell Nashville."
Steve Solomon,"Sunday, May 24, 2026",4:00 PM,,,Montgomery Performing Arts Center,"201 Tallapoosa Street, Montgomery, AL 36104",,(334) 481-5100,https://mpaconline.org/steve-solomon,Ticket Prices: $20.50 - $35.50,"Steve, a Brooklyn native, grew up in the diverse neighborhood of Sheepshead Bay—an ideal setting for a future comedian. From a young age, he used his talent for imitating accents and writing jokes to entertain others. He shared his work with friends, comics, and publications, and later reached thousands through email as the internet grew. For over 20 years, his jokes have circulated widely—often returning to him from around the world. Alongside his comedy, Steve built a career as a Physics teacher and later served as an assistant superintendent on Long Island, New York."
Memorial Day Holiday and Weekend / ZOO OPEN,"Monday, May 25, 2026",9:30 AM,,3:30 PM,Montgomery Zoo and Mann Wildlife Museum,"2301 Coliseum Parkway, Montgomery, Alabama 36110",zooinfo@montgomeryal.gov,(334) 625-4905,https://www.montgomeryal.gov/Home/Components/Calendar/Event/6008/4288,,We look forward to seeing you and your family enjoy this holiday exploring the great outdoors and the continents of the world while visiting the Montgomery Zoo and Mann Wildlife Learning Museum. Come enjoy the sights and sounds of the Montgomery Zoo.
Drop-In Art Workshop (DRAW): Rainmakers,"May 26-31, 2026",10:00 AM,,1:00 PM,Montgomery Museum of Fine Arts,"1 Museum Drive, Montgomery, AL 36117",,,https://mmfa.org/event/drop-in-art-workshop-draw-rainmaker,,"Drop by the ArtWorks Interactive Gallery between 10 AM and 1 PM for creative activities inspired by the permanent collection, temporary exhibitions, and the art all around us. This free program is appropriate for all ages but focused more for our visitors under the age of 10. Activities are on a first-come, first-served basis. Registration is not required. Please note, the Museum is closed Mondays."
Art Crawl: Mark Making!,"May 27 & 30, 2026",9:30 AM,,10:30 AM,Montgomery Museum of Fine Arts,"1 Museum Drive, Montgomery, AL 36117",kahobbs@mmfa.org,(334) 625-4349,https://mmfa.org/event/art-crawl-mark-making,,"Infants observe mark-making (the lines, shapes, texture, and ridges) in the artworks around them. Museum educators will lead participants through galleries and provide provocations based on exploration. In May, we give them tactile ways to interact with this concept through different materials that deepen their understanding and exploration! Age Range: Infants up to 18 months with their caregivers. Due to the age range of participants, pre-registration is required."
Justin Turberville: Live at The Lyric,"Thursday, May 28, 2026",6:00?PM,,9:00?PM,"124 West Main Street, Prattville, AL, 36067",,thelyric@prattvilleal.gov,,https://thelyricatesthers.com/events/jug-slammers-tpygp-9242d-97mj7,,Justin Turberville Solo Acoustic: Information coming soon.
Opening Reception Celebration,"Friday, May 29, 2026",5:00 PM,,7:00 PM,Montgomery Museum of Fine Arts,"1 Museum Drive, Montgomery, AL 36117",,,https://mmfa.org/event/opening-reception-celebration,This event is free and open to the public.,Join us in the celebration of 250 years of American independence as we debut three new exhibitions! More information coming soon.
Beats & Eats Foodtruck Fridays at Spillway Park,"Friday, May 29, 2026",6:00?PM,,9:00?PM,"124 West Main Street, Prattville, AL, 36067",,thelyric@prattvilleal.gov,,https://thelyricatesthers.com/events/jug-slammers-tpygp-9242d,,Enjoy Beats and Eats Foodtruck Fridays at Spillway Park! No events scheduled at The Lyric.
